Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	-4784850.0	4722601.0	-55767.824	-18572800.0	-12414222.0	10139140.0	4.192655	-21230092.0	51.541668	46.0	5000	-82298540.0	137982140.0	90.95027	-862463600.0	-82313910.0	138016640.0	29.616997	-869619840.0	-111370010.0	188679890.0	12.438082	-1262618900.0	1091.0221	345.71384	36471.754	273.14667	217841130000000.0	217492850000000.0	405761330000000.0	120.01320791244507
2	1.2	0.2	-4147975.8	4305761.5	-61769.723	-14550943.0	-10751190.0	9793550.0	-9.718659	-22932440.0	44.486725	40.0	10000	-12828545000.0	11220479000.0	-301640400.0	-65163993000.0	-12843436000.0	11236724000.0	-292651650.0	-65188295000.0	-15093541000.0	13342770000.0	-81618270.0	-78305520000.0	1096.0067	30.266665	1323.8674	846.512	5.027912e+18	5.00932e+18	1.5368712e+19	241.3754072189331
3	1.2	0.2	-4372675.5	7541248.5	-20.358057	-55521356.0	-3096900.2	3120423.0	-20.989223	-6696104.0	16.73	12.1	15000	-22739474000.0	10544081000.0	-171088910.0	-71604790000.0	-22686888000.0	10546766000.0	-173430770.0	-71554654000.0	-21071116000.0	11183178000.0	-95331624.0	-81597820000.0	17424.193	7513.2144	61231.37	769.7018	1.1693425e+19	1.1592174e+19	5.2560135e+19	368.94860553741455
4	1.2	0.2	-3799623.5	6743322.5	-0.4216958	-51009930.0	-2624300.5	2664096.5	-0.9604212	-5866492.5	20.157894	19.0	20000	-8329981400.0	4143242500.0	-22996274.0	-25981037000.0	-8309854700.0	4125939200.0	-23467230.0	-25862167000.0	-7991962600.0	4201529600.0	-418895550.0	-26317880000.0	11486.495	8812.36	81725.26	183.33644	1.3505945e+18	1.344743e+18	2.0314732e+18	494.7328407764435
5	1.2	0.2	-3587567.0	6284705.5	-0.24869536	-35784892.0	-3411924.5	2256399.2	-2.7986298	-5564466.5	25.864584	47.1	25000	-3262095600.0	2122931800.0	-18161366.0	-11260199000.0	-3254768400.0	2115870600.0	-19348278.0	-11242316000.0	-3160296200.0	2083883100.0	-197115740.0	-11941241000.0	10677.333	8865.791	93297.875	509.34174	2.1283274e+17	2.1308486e+17	1.7416352e+17	620.5274024009705
6	1.2	0.2	-3092652.0	4270662.5	-2.2419405	-25947566.0	-2409610.5	2994432.5	-11.304687	-7265753.5	47.990475	50.0	30000	-895426000.0	747940900.0	-14566741.0	-4042942000.0	-893327200.0	744319550.0	-14515005.0	-4036720000.0	-883844350.0	704382900.0	-70926904.0	-4077386200.0	4448.816	3343.0874	77229.25	156.65347	1.9654022e+16	1.9779899e+16	1.5593111e+16	744.1951985359192
7	1.2	0.2	-10812628.0	11971577.0	-14.153738	-52999530.0	-12500894.0	12272664.0	-94.00061	-30715494.0	110.44444	102.4	35000	-256371460.0	258833740.0	-4943025.0	-1406062700.0	-256094240.0	258361760.0	-2717458.2	-1410239700.0	-256968370.0	245740060.0	-14520930.0	-1642388000.0	1908.9545	2284.2227	103936.695	171.53645	2146984200000000.0	2156610500000000.0	1304404000000000.0	870.4933443069458
8	1.2	0.2	-9456395.0	12477045.0	-92.39411	-54287300.0	-9030116.0	11431264.0	-7761.655	-30087040.0	39.039062	39.6	40000	-60437376.0	62838204.0	14672599.0	-491514620.0	-60750410.0	62554668.0	11878719.0	-479818600.0	-59524664.0	59758296.0	2660.159	-534816300.0	1984.8986	4349.065	111452.195	161.05887	135687950000000.0	132114450000000.0	82163865000000.0	1007.5067720413208
9	1.2	0.2	-7930800.5	11962279.0	-16653.814	-55800964.0	-2399427.5	1925736.9	-278995.06	-5301076.0	30.756098	8.6	45000	410885980.0	759409500.0	8367786000.0	-163289920.0	414277470.0	768386940.0	8454888000.0	-163445010.0	561498100.0	948048450.0	10447419000.0	-205819520.0	14148.8	22444.715	111452.2	698.3966	2.2267142e+16	2.1839234e+16	1.638463e+17	1143.0148203372955
10	1.2	0.2	-6443904.5	9552406.0	-278960.5	-55801108.0	-1925125.6	4938391.5	-278995.0	-16740301.0	23.096775	6.9	50000	4589565000.0	3569436400.0	37515420000.0	118022290.0	4682292700.0	3618528800.0	39238304000.0	120255210.0	5521101000.0	3958434300.0	43156560000.0	457390940.0	1877.0598	1474.3656	11800.793	941.2012	1.3228551e+18	1.1612514e+18	4.5125975e+18	1273.9810600280762
11	1.2	0.2	-8980356.0	9663662.0	-278995.0	-29574572.0	-9067656.0	8793087.0	-278995.0	-18414324.0	32.187096	32.5	55000	10164614000.0	5858206700.0	54318047000.0	327925760.0	10340365000.0	5883024000.0	55920816000.0	400792000.0	11406570000.0	5447216000.0	55046373000.0	1928057900.0	1099.2571	109.463104	4719.243	929.1044	4.9920703e+18	4.5280195e+18	9.326032e+18	1405.1591863632202
12	1.2	0.2	-10501492.0	9829334.0	-278995.0	-30411612.0	-2036727.2	5273197.0	-278995.0	-17856318.0	37.6391	7.3	60000	7737183700.0	4576025600.0	49675846000.0	516672000.0	7790398500.0	4536056300.0	50006557000.0	662327040.0	8436947500.0	3684414500.0	46097590000.0	1619347500.0	1096.0037	34.909573	4701.3164	947.2728	3.9793503e+18	3.70622e+18	2.0404342e+18	1536.233969926834
13	1.2	0.2	-11501980.0	11122979.0	-278995.0	-53011064.0	-12359922.0	10703085.0	-278995.0	-32085646.0	41.225	44.3	65000	3494582300.0	2133180200.0	26582708000.0	288323230.0	3557524000.0	2130129300.0	27476505000.0	354041800.0	3909448400.0	1686142200.0	21317010000.0	363383600.0	1096.0005	33.243576	4702.0815	925.9958	1.3258087e+18	1.209815e+18	1.8561397e+17	1667.2640929222107
14	1.2	0.2	-10894169.0	10185455.0	-278995.0	-35991744.0	-9290867.0	12043896.0	-278995.0	-35991732.0	39.046513	33.3	70000	1304134700.0	742567100.0	10217602000.0	-600023700.0	1329282300.0	742269100.0	10691191000.0	-476401700.0	1439957800.0	625687600.0	6883322000.0	105488536.0	1095.9097	29.434368	4677.636	950.34247	1.6376995e+17	1.4574807e+17	2.0202689e+16	1799.7208008766174
15	1.2	0.2	-8640538.0	10134984.0	-278995.0	-43524920.0	-6751918.5	9967797.0	-278995.0	-26784518.0	30.969135	24.2	75000	510597020.0	241953600.0	3962052900.0	-581017860.0	514628380.0	240398340.0	4129918200.0	-489018900.0	532847300.0	206088240.0	2197924900.0	-25130486.0	1095.9358	29.035364	4714.4136	939.4323	1.110814e+16	1.0237743e+16	1288228500000000.0	1931.548951625824
16	1.2	0.2	-8664845.0	10070711.0	-278995.0	-34317684.0	-11132296.0	8929431.0	-278995.0	-21483406.0	31.05625	39.9	80000	235824580.0	102401870.0	917843200.0	-580752100.0	235080340.0	101014290.0	950366900.0	-535915230.0	236027420.0	94147970.0	658605100.0	-320189820.0	1095.9218	30.389559	4710.1064	951.0912	1547146000000000.0	1392651000000000.0	121369490000000.0	2062.7234966754913
17	1.2	0.2	-9971391.0	10145345.0	-278995.0	-55801084.0	-13336435.0	8929736.0	-278995.0	-25947490.0	35.739132	47.8	85000	108322830.0	67341704.0	423527580.0	-625192960.0	107861416.0	66534464.0	382239650.0	-587143700.0	108326664.0	65630916.0	334060600.0	-381509730.0	1095.9021	29.902964	4676.7954	944.37067	340273300000000.0	297788500000000.0	25478346000000.0	2193.706850528717
18	1.2	0.2	-12028214.0	10683084.0	-278995.0	-55801124.0	-14982573.0	10138342.0	-278995.0	-27900534.0	43.11111	53.7	90000	38800830.0	46122296.0	276823650.0	-454443360.0	38657680.0	45541684.0	248342960.0	-409505500.0	38077244.0	45348130.0	218638820.0	-341622100.0	1095.9094	30.235497	4711.7046	941.93286	117571940000000.0	98914330000000.0	11434056000000.0	2327.5768299102783
19	1.2	0.2	-8814096.0	9899362.0	-278995.0	-47151930.0	-11299702.0	12011659.0	-278995.0	-35433692.0	31.591194	40.5	95000	-3115826.8	26545222.0	150408780.0	-286591970.0	-3276911.5	25887102.0	122302136.0	-257332850.0	-4304231.0	25108272.0	119280210.0	-238347090.0	1095.8225	26.78374	1186.6279	946.2047	44243653000000.0	31797130000000.0	5827994000000.0	2460.2131612300873
20	1.2	0.2	-8831644.0	10099069.0	-278995.0	-35433710.0	-14898870.0	10077618.0	-278995.0	-27063518.0	31.654089	53.4	100000	-20344090.0	15569818.0	72329230.0	-160739570.0	-20465438.0	14976546.0	67984980.0	-157395180.0	-21329742.0	14538309.0	73166920.0	-162370380.0	1095.8315	26.749195	1192.8696	944.4666	26836317000000.0	18454233000000.0	4228257200000.0	2593.2335608005524
21	1.2	0.2	-10371070.0	10555278.0	-278995.0	-55801108.0	-7086720.0	8231550.0	-278995.0	-17856316.0	37.171642	25.4	105000	-22163080.0	13978556.0	49707664.0	-157535980.0	-22194868.0	13674967.0	49443856.0	-154552690.0	-22710602.0	13753763.0	49892610.0	-162539920.0	1095.8212	26.761862	1188.9185	949.5547	21023536000000.0	15649857000000.0	3288981300000.0	2724.5632615089417
22	1.2	0.2	-8424254.0	9531321.0	-278995.0	-34317704.0	-12778424.0	8212235.0	-278995.0	-19251342.0	30.19394	45.8	110000	-19264818.0	12807468.0	49380430.0	-141086060.0	-19258322.0	12578541.0	56278670.0	-141117230.0	-19594066.0	12695058.0	48512256.0	-135472220.0	1095.8544	26.821821	1182.1533	940.4943	15466410000000.0	11718507000000.0	2469444500000.0	2856.2549908161163
23	1.2	0.2	-9524125.0	9648389.0	-278995.0	-33201674.0	-5775395.0	8397126.0	-278995.0	-18972334.0	34.136055	20.7	115000	-17053512.0	11724024.0	42516110.0	-130014060.0	-17045796.0	11546306.0	45291150.0	-120407790.0	-17343948.0	11685207.0	46893376.0	-120248130.0	1095.8999	26.730448	1185.0254	946.96326	11414589000000.0	8717471300000.0	2004260500000.0	2988.137267112732
24	1.2	0.2	-3242097.8	4760303.5	-270498.8	-20925374.0	-1785616.6	1847335.2	-278994.94	-4185051.0	11.62037	6.4	120000	-14152474.0	14321276.0	58664590.0	-145052780.0	-14159988.0	14214927.0	49112144.0	-140721070.0	-14251979.0	15472461.0	51879744.0	-146932240.0	1095.7599	26.77701	1184.776	935.26514	11888253000000.0	9616820000000.0	5858128000000.0	3116.556708574295
25	1.2	0.2	-1976368.1	1816683.8	-278994.94	-4464055.5	-2064620.6	1787368.5	-278994.94	-3906047.2	7.083688	7.4	125000	-269092.47	22101606.0	76907410.0	-145913260.0	-249879.58	22034904.0	68345900.0	-145165300.0	381750.62	22701484.0	69497550.0	-134868600.0	1095.8088	26.799778	1184.303	941.4292	10879856000000.0	9326811000000.0	3926983000000.0	3241.3852729797363
