Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.5	0.2	122.89325	36.063705	262.39462	83.15768	67.15722	0.13983601	67.378395	66.936104	24.406862	14.0	5000	-2193.9622	1339.4092	872.2818	-6544.0527	-2193.9912	1338.9558	1026.9313	-6513.0815	-2470.5776	1277.3715	8.074167	-8306.788	15713.409	678750.75	93855990.0	-0.7268361	6099.762	6326.226	9218901000.0	18.225562810897827
2	1.5	0.2	122.34261	33.81428	259.44376	83.18422	62.335167	0.08065328	62.446632	62.213833	24.359222	13.0	10000	-2216.7156	1117.2335	1041.6227	-5806.659	-2216.7593	1117.1769	949.2649	-5879.973	-2355.07	1046.0266	172.88107	-5573.764	2256.0737	647.34216	44879.86	10.83403	3535.9573	3545.8293	17923.252	36.73827338218689
3	1.5	0.2	74.98524	3.6370795	103.541275	66.367546	67.69273	0.1027902	67.860725	67.5131	15.763407	14.0	15000	-2763.48	1352.1478	1696.043	-5687.3047	-2763.4907	1352.0867	1851.9524	-5739.6494	-3045.0632	1292.4609	660.5379	-6820.479	2051.861	1113.0345	575735.6	5.3889694	9741.219	9749.266	37931.723	61.48786115646362
4	1.5	0.2	74.22157	6.5259447	115.991264	62.28319	80.64513	2.4144719	83.3193	78.15781	15.432098	16.5	20000	-1675.3071	1764.4146	1204.165	-5847.3057	-1675.3643	1764.4651	1272.7343	-5823.0083	-1737.463	1827.8942	1343.2122	-6125.981	728.8897	999.22327	31869.488	-11.801784	7090.872	7212.183	11441.939	83.84114718437195
5	1.5	0.2	184.38974	107.79867	509.63553	77.67093	199.9208	4.3704042	209.48726	193.71893	35.985508	42.1	25000	66.68849	51.614002	573.9348	-191.15756	66.65286	52.122284	544.8988	-201.26216	69.61388	51.25714	503.63336	-170.94275	2.9903255	6.2735696	608.93884	-13.415142	182.35141	198.90839	137.07753	104.42806696891785
6	1.5	0.2	328.6808	72.05069	809.7796	210.4535	254.21841	32.32627	334.9971	232.16833	62.08642	49.7	30000	112.2504	60.159805	262.78452	-46.04606	112.24949	60.16799	257.98477	-51.07665	118.98692	60.38064	270.71875	-54.86299	-0.13859378	3.9589784	31.313444	-13.662425	37.9302	39.637672	35.301388	124.84770917892456
7	1.5	0.2	290.98636	55.594807	589.16656	208.59363	254.37077	8.796587	268.09552	244.96002	54.010868	45.6	35000	144.24731	81.08423	282.85345	-60.723804	144.24734	81.06406	281.20224	-86.70212	151.46326	80.48198	286.67804	-58.6799	0.47736326	6.4386187	2132.5815	-13.649127	26.517603	27.895685	31.367014	144.88985681533813
8	1.5	0.2	326.19827	61.513878	530.2092	177.38264	222.22453	20.554356	250.36441	189.33434	61.42683	42.9	40000	156.25328	91.1621	300.38687	-93.43718	156.25285	91.14889	297.54437	-96.66668	163.09044	90.44148	300.41202	-89.17314	-0.805106	6.069915	49.529446	-13.785643	20.975203	21.866016	28.293907	164.78971910476685
9	1.5	0.2	390.25427	82.590164	652.3401	162.77759	387.5936	38.823055	443.20303	317.6468	76.69231	83.9	45000	158.94933	93.88138	309.81168	-88.05732	158.94873	93.87032	309.99286	-108.87157	165.37775	93.460754	311.22693	-96.662964	-1.1353959	6.6367	1975.2694	-13.889777	19.635883	20.31037	28.107841	185.2144684791565
10	1.5	0.2	400.9445	102.45174	886.1383	217.82144	459.75522	72.473145	571.34906	353.55945	82.78333	97.4	50000	168.27634	97.8426	320.03802	-81.3843	168.2748	97.83689	320.3368	-81.27094	174.74727	97.320366	321.74207	-74.12008	-0.9982581	5.8890724	86.25919	-14.1455	20.422941	20.727554	28.8569	205.8882200717926
