Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	123.48401	38.583492	277.1332	78.27261	290.11136	8.675184	300.98282	274.12906	24.668316	52.0	5000	-11.376745	60.853622	98.43047	-150.56612	-11.378837	60.854214	96.57086	-149.71385	-15.061705	68.032486	98.5248	-170.94891	37.41927	168.37231	17101.23	-18.461166	6.5567408	6.4774833	481.5142	19.669824838638306
2	1.2	0.2	120.320526	35.122047	238.47876	78.43536	230.2725	7.033988	238.89284	215.9281	24.0	42.6	10000	139.13437	68.15357	299.6745	-67.37418	139.13412	68.153275	299.81088	-65.89065	148.98106	66.579956	307.102	-50.98698	1.5718158	6.1356244	33.921947	-17.304747	8.935392	9.054889	20.977182	38.52645468711853
3	1.2	0.2	262.64383	76.16077	489.5504	119.23932	248.15503	8.704354	262.16074	234.46884	50.734695	47.3	15000	249.7927	101.6651	387.29877	-126.2051	249.79115	101.67298	382.81384	-129.52371	260.87903	94.47885	382.50415	-119.07778	2.8351452	8.706456	132.36983	-16.992952	36.26641	36.25586	58.527	59.01510715484619
4	1.2	0.2	328.05396	62.606216	475.49384	199.52425	275.63654	10.586126	297.05066	266.91855	65.16883	58.9	20000	238.1877	119.430405	400.22177	-82.50996	238.18506	119.43596	403.25577	-76.350426	245.13623	116.03512	397.20584	-99.905174	0.3851205	7.645998	44.81592	-17.63303	35.534008	35.66305	54.636597	79.62351489067078
5	1.2	0.2	356.70746	82.552155	596.8352	203.92609	347.2707	28.570858	395.80078	292.21735	73.23529	75.4	25000	208.93773	116.36917	376.48917	-83.47401	208.93784	116.36982	378.36972	-77.63344	214.13002	114.766556	374.0283	-97.81846	-1.1656619	5.731896	56.91208	-17.141655	29.311737	29.147947	46.193043	100.43741416931152
6	1.2	0.2	433.45016	100.505775	711.7483	290.33664	419.99936	29.629261	482.29108	389.09033	85.793106	84.5	30000	188.7572	108.54032	346.69287	-35.314564	188.75768	108.541695	344.87778	-28.326189	192.90901	107.86614	347.2772	-33.226032	-2.09038	5.3099875	55.653534	-16.970558	23.76434	23.719185	36.97005	121.19905161857605
7	1.2	0.2	443.00558	110.997986	757.1605	244.62581	488.1647	73.34808	580.94135	350.26343	86.8421	97.1	35000	181.80086	102.53417	339.7639	-27.616356	181.79979	102.53426	342.46823	-33.91508	185.4788	102.15154	347.45053	-30.344788	-2.4443316	5.0391726	41.541996	-17.475798	18.989569	18.835888	28.490454	142.08606147766113
8	1.2	0.2	454.21613	122.24312	889.61633	293.1054	399.6507	82.04596	571.8321	309.23117	92.4	85.3	40000	180.08614	100.00851	335.83044	-102.687965	180.08559	100.00985	336.6971	-42.795544	183.32231	99.87271	333.1203	-53.33685	-3.0107906	4.495038	43.33363	-18.768837	17.01036	17.171915	25.409586	163.31612086296082
9	1.2	0.2	484.6584	133.01186	746.5062	277.6781	545.3999	170.55861	993.4807	418.66776	98.42	103.8	45000	182.17575	101.791145	341.19846	-15.405018	182.17462	101.79228	339.12317	-30.634193	185.28894	101.7322	339.79205	-25.430563	-3.2618566	4.379274	47.06913	-17.056395	16.163588	16.316347	23.968214	184.3004310131073
10	1.2	0.2	511.76147	100.3989	794.5029	340.96014	416.85922	38.17445	487.99435	352.6039	99.4902	77.3	50000	185.30287	102.346085	343.92886	-21.46043	185.30257	102.346924	342.06696	-18.778593	188.20589	102.25654	340.10956	-19.809315	-3.3985891	4.3123426	27.643877	-17.445833	15.307459	15.287141	22.346455	205.43072628974915
11	1.2	0.2	516.8941	93.10905	778.0905	339.51724	530.9409	73.172585	717.0199	474.36603	100.244896	104.4	55000	189.50539	102.898026	347.72803	-16.810293	189.50435	102.89774	349.18085	-16.818354	192.19096	102.72749	345.82233	-23.403664	-3.576314	4.2733803	23.487291	-17.370121	14.695279	14.802665	21.543695	226.39943289756775
