Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.0	0.2	5.011351	0.11655787	5.329724	4.5463014	4.556546	0.17242017	4.9442554	4.41239	24.829268	80.5	4096	17.930424	24.65678	84.219505	-27.645338	17.936705	24.640574	83.77751	-26.375202	17.101706	27.484669	88.99947	-44.06306	5.2302732	25.254145	380.6165	-22.463923	1.6546773	1.8463511	6.343469	118.20556330680847
2	1.0	0.2	5.005164	0.12355896	5.26123	4.5360875	5.2303543	0.014149677	5.254241	5.2129984	23.929825	47.5	8192	122.064644	63.125393	300.08118	-33.239105	122.06673	63.12301	300.89557	-48.33877	132.74397	64.34679	311.15915	-18.249111	2.0148826	5.039814	29.151287	-23.045994	9.787256	9.856213	10.085422	239.41233134269714
3	1.0	0.2	5.0690827	0.19747667	5.5202384	4.6245112	4.7028418	0.023347257	4.7392516	4.654786	35.695652	36.6	12288	312.8613	135.60039	589.98175	-83.55104	312.86734	135.6069	579.5757	-85.22017	337.0208	127.85403	598.30347	-100.01617	8.234486	5.955074	39.512947	-19.948193	71.40596	70.20233	50.040585	365.5040376186371
4	1.0	0.2	4.900334	0.22121206	5.426192	4.4329934	4.755133	0.036136143	4.819614	4.7123923	54.733334	41.0	16384	374.58588	171.30373	626.3022	-248.59987	374.5953	171.28671	614.63275	-239.3507	390.08585	164.87872	636.45044	-282.76257	7.366859	8.163926	44.313793	-20.202763	181.4623	179.80113	95.48549	485.326740026474
5	1.0	0.2	5.158198	0.20111832	5.5018077	4.6116567	5.360072	0.076261476	5.4569864	5.1893535	51.50633	66.5	20480	306.18326	158.79047	581.134	-242.75386	306.18372	158.78566	578.4693	-238.34267	314.984	155.09746	582.9527	-267.884	4.231667	7.195409	39.01151	-22.944908	171.92535	169.00926	94.26035	605.779589176178
6	1.0	0.2	5.019708	0.28375426	5.462247	4.3427134	5.0381336	0.21975937	5.3544574	4.7727356	85.0625	91.8	24576	231.59512	127.239044	465.67618	-220.39769	231.593	127.23603	464.49127	-218.29636	237.07478	125.42439	463.95963	-220.11008	2.2559857	6.608424	32.652153	-22.325047	111.7141	111.19047	64.57671	723.40998005867
7	1.0	0.2	4.9819684	0.33874226	5.5395265	4.371364	4.9612703	0.22414055	5.1639404	4.520692	79.48077	78.0	28672	186.03946	100.0717	377.2883	-163.47733	186.03787	100.06888	376.01117	-176.08034	189.308	98.875595	369.22562	-192.38948	-0.60222197	5.4242496	27.419977	-22.554165	61.169262	61.468822	41.939426	839.8979744911194
8	1.0	0.2	4.889867	0.29641408	5.400566	4.472793	4.853544	0.29362777	5.343883	4.568639	79.745094	90.6	32768	163.73222	81.52322	311.07846	-163.85	163.73203	81.51506	309.37918	-175.16142	165.99692	80.427	307.153	-184.17752	-2.4046528	5.080559	22.63994	-22.894772	37.323235	37.48856	28.528027	957.2502634525299
9	1.0	0.2	4.9556923	0.31477034	5.496064	4.345856	4.774211	0.25799245	5.1842704	4.47377	81.62	97.6	36864	152.4836	72.79463	279.0348	-154.06578	152.48433	72.786865	274.0875	-156.08514	154.26106	71.89991	271.43323	-163.09409	-3.8757684	4.7328362	20.0013	-25.429838	27.523052	27.523811	21.629566	1083.8510737419128
10	1.0	0.2	5.0800495	0.30833852	5.5047617	4.4775643	5.0085387	0.24427052	5.2658434	4.6487393	91.6	104.0	40960	149.01904	70.31727	262.20767	-147.88597	149.01978	70.31079	270.06354	-131.83928	150.65176	69.56356	260.4693	-138.70703	-4.1258793	4.5837526	21.407932	-24.078716	23.450222	23.557613	18.514362	1211.4828429222107
11	1.0	0.2	5.1216516	0.28067634	5.53143	4.4836674	5.1089206	0.19364603	5.335385	4.6960106	87.652176	85.5	45056	150.84813	70.59012	262.18265	-133.98833	150.84854	70.57979	264.6388	-129.23506	152.40161	69.89573	260.09656	-131.08331	-4.1625853	4.6084447	21.454586	-22.72465	21.187578	21.788567	16.71148	1333.5992329120636
12	1.0	0.2	5.0410247	0.29959568	5.490798	4.4895577	5.0004907	0.26929477	5.4226108	4.642136	89.86957	111.0	49152	154.0219	72.17051	270.43915	-123.62117	154.0226	72.15548	273.1406	-135.14215	155.45975	71.55427	263.7362	-127.96413	-4.0262003	4.637015	22.207586	-22.618788	21.04415	21.8426	15.917604	1458.9100637435913
