Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	123.07443	40.183712	297.4567	82.99646	268.3001	5.3301506	275.07245	257.92102	24.509804	48.8	5000	-3.7338357	54.83799	100.460045	-133.17506	-3.7322338	54.840626	102.351974	-130.97902	-6.5581546	61.56339	102.920006	-167.08363	26.759512	128.90273	16247.96	-19.048317	5.521382	5.3647914	252.9637	20.872488021850586
2	1.2	0.2	122.73137	31.979307	236.47725	78.49804	232.34319	4.49284	239.9578	223.49371	24.421568	42.6	10000	140.90053	67.56211	300.07947	-85.46917	140.90218	67.56611	301.08194	-82.27101	150.82271	65.8632	310.84555	-60.769257	2.260588	5.5649924	34.17429	-17.050932	9.981313	9.860954	23.338356	41.167595624923706
3	1.2	0.2	251.96507	47.19226	421.96024	143.3979	251.90034	5.438268	259.17255	242.21956	49.65	52.3	15000	261.0177	95.4408	383.44656	-84.26142	261.0174	95.45929	388.45264	-83.458565	272.53683	85.2327	384.85547	-84.024345	2.3804915	8.62306	48.436264	-18.05358	40.6623	38.900864	59.89173	64.87184548377991
4	1.2	0.2	262.15726	53.84386	410.39374	152.73933	223.51651	28.369333	263.83878	176.60602	52.28125	46.4	20000	252.89624	108.12795	400.5452	-115.01008	252.8977	108.13735	403.8473	-105.75979	260.22604	102.74689	395.12668	-124.45213	0.4539339	7.4692736	39.930252	-17.723608	37.233368	35.870193	51.61509	88.44607901573181
5	1.2	0.2	361.17007	72.972206	554.7443	225.30898	367.57208	97.45155	559.87537	273.64676	71.4	72.3	25000	216.35474	115.93024	385.85794	-98.1686	216.35574	115.9328	381.80487	-96.1482	221.65834	114.128365	379.16556	-110.6459	-0.673289	6.4064693	44.27301	-17.042341	27.033861	26.482824	39.783127	112.29273295402527
6	1.2	0.2	453.57236	96.66179	671.01483	274.64612	529.69446	57.20956	667.1574	445.19012	89.21429	101.2	30000	191.48262	110.97382	366.04538	-45.765884	191.48466	110.975006	360.5767	-53.85	195.9159	110.27861	361.03638	-57.561867	-1.5425729	5.4123626	74.584724	-16.674736	21.257	20.713593	31.538074	136.37302041053772
7	1.2	0.2	466.8222	87.67558	710.50494	326.80862	575.2623	76.90691	749.97144	503.6789	93.79245	115.4	35000	181.27054	104.782684	346.01297	-33.70586	181.273	104.78257	349.80832	-38.194355	185.0193	104.54121	345.08597	-55.39769	-1.8962644	4.953248	155.93146	-18.45077	18.094625	17.955221	27.038265	160.82227516174316
8	1.2	0.2	523.90204	149.70454	1057.6542	329.30798	537.14636	89.56968	771.06134	450.40512	106.34042	104.8	40000	179.75868	102.13948	345.6423	-30.918497	179.75818	102.14393	345.9643	-29.523674	183.19804	102.10278	341.01675	-29.844803	-2.0516555	4.848741	36.654655	-16.642765	16.444048	16.262615	23.717737	185.0861358642578
9	1.2	0.2	521.57465	110.493095	786.3789	326.95856	574.54285	31.576984	654.7154	534.4133	103.958336	112.9	45000	183.11826	102.39482	348.52216	-30.073387	183.11716	102.40263	349.27072	-25.928753	186.28601	102.34108	347.27985	-25.908249	-2.4172528	4.8985353	31.107973	-18.394442	15.08237	14.754769	21.770489	209.33122158050537
10	1.2	0.2	457.576	90.74901	690.61365	307.81342	397.84595	48.027287	523.19836	343.24582	93.666664	82.5	50000	185.80014	102.01703	348.47693	-23.812098	185.80046	102.01862	351.82324	-19.479128	188.6964	101.95183	346.49216	-32.421436	-2.8396695	4.8188534	36.846664	-17.691029	13.796381	13.489012	19.746046	233.63964104652405
11	1.2	0.2	498.2452	116.28139	805.13104	297.94196	477.53506	33.428726	531.29205	409.92715	99.42	91.7	55000	186.28012	101.60376	351.86133	-31.24487	186.28021	101.607	350.9401	-23.569342	188.97266	101.53844	347.21875	-29.276808	-3.1935327	4.868229	36.160065	-17.352251	12.96996	12.671271	18.525822	257.8941307067871
12	1.2	0.2	530.1457	133.14761	915.2694	317.83392	488.73285	67.0996	603.38525	385.5875	104.541664	101.3	60000	188.7267	101.07696	354.08414	-23.920006	188.72629	101.07861	354.44775	-21.888287	191.22658	100.98182	350.30453	-47.233017	-3.4682057	4.8590746	31.192059	-18.053717	12.682553	12.477534	17.657423	282.31960582733154
13	1.2	0.2	549.1426	121.49135	1045.2885	334.02914	460.55917	82.54029	650.3526	388.0489	108.41304	89.0	65000	190.52252	100.144066	351.03323	-38.936497	190.5225	100.145615	350.326	-34.067738	192.77151	99.91349	348.75323	-44.123608	-3.947961	4.7645793	31.399635	-17.640709	12.268679	12.022642	16.78142	306.6766188144684
14	1.2	0.2	496.98978	80.425095	734.09406	374.98712	519.5186	40.974358	574.98193	433.7406	96.92308	98.5	70000	191.7937	99.608284	344.08865	-25.935602	191.79527	99.60897	346.06528	-30.75406	193.87054	99.33591	341.8779	-24.232237	-4.2395716	4.681912	28.775215	-18.115404	11.649714	11.379769	15.72339	331.34859108924866
15	1.2	0.2	553.67505	144.43117	1152.8691	348.35812	508.72803	59.731026	600.408	412.06476	108.36957	94.3	75000	192.98428	99.47874	347.78525	-43.516476	192.98465	99.480354	345.60852	-30.336687	194.97379	99.17986	345.02698	-27.653273	-4.3713207	4.618537	32.570023	-18.283499	11.279445	11.040982	14.969261	355.73645281791687
16	1.2	0.2	546.93335	141.72557	995.7399	379.3854	549.1681	114.30233	838.5183	450.1877	107.434784	102.1	80000	194.7777	99.434845	346.1282	-16.711857	194.77792	99.43643	346.59006	-31.776287	196.68198	99.14897	346.47336	-55.614365	-4.4323726	4.5446095	41.66773	-18.858528	11.306625	11.041937	14.645674	380.230238199234
17	1.2	0.2	559.6369	114.648506	932.8128	397.44904	613.84094	176.17357	1054.9193	434.76114	109.17391	116.1	85000	198.10063	100.12545	349.20508	-23.810001	198.10176	100.126724	350.43454	-42.331207	199.95386	99.81466	348.83194	-34.71246	-4.5699325	4.6076937	59.94237	-17.228638	11.043586	10.691263	14.1180525	405.0885474681854
18	1.2	0.2	529.79266	115.25313	971.70557	385.43805	536.8057	66.93748	715.84973	472.39542	104.625	101.2	90000	200.06506	100.90533	354.174	-35.783905	200.06482	100.906425	353.37274	-28.79933	201.85068	100.610916	352.58594	-53.759506	-4.623246	4.5498567	27.862982	-17.032127	11.087832	10.798177	14.126111	429.927649974823
