Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.039735693	0.023886647	0.13263628	0.005603588	11.504027	-0.08965847	0.6865126	2.3002172	-2.2942698	10000	1.0299683e-08	0.56174165	-0.12396968	-0.5256559	10.9878845	0.013579497	0.4938	79.0	46.009146213531494
1	0.04089992	0.025677873	0.1329967	0.004052438	11.71864	0.18245795	0.15728219	0.79027236	-0.4519396	20000	-1.373291e-08	0.044002313	-0.01764761	-0.015509302	11.034653	0.018637823	0.2757	4.0	81.89498114585876
2	0.039990548	0.025236905	0.14480698	0.006056226	12.509387	0.19111015	0.13899714	0.719783	-0.47589642	30000	3.2997132e-08	0.042227592	-0.01483135	-0.013133727	11.0380535	0.020991554	0.2973	4.0	117.51572227478027
3	0.03972241	0.025231857	0.16350818	0.0064586163	15.761829	0.19589557	0.13262528	0.74425256	-0.45574662	40000	7.629395e-09	0.045457453	-0.077072114	-0.014978973	11.016864	0.015511231	0.2634	27.0	155.65914130210876
4	0.039100252	0.024140537	0.1415651	0.0068522245	16.041733	0.23422544	0.12925589	0.6879186	-0.24600372	50000	2.3651124e-08	0.0429551	-0.02082057	-0.013275871	11.059389	0.017824935	0.2954	5.0	190.98690748214722
5	0.038554274	0.022751316	0.13638279	0.0070171533	18.973333	0.23243274	0.128622	0.72604424	-0.2875026	60000	-2.1362304e-08	0.04682588	-0.017663186	-0.015858566	11.015473	0.018930295	0.2934	5.0	225.95636749267578
6	0.039297562	0.023139002	0.13640088	0.006442857	20.90566	0.2597429	0.12911087	0.70771086	-0.20620054	70000	3.8146972e-08	0.05890323	-0.019788554	-0.02077964	11.003769	0.02040286	0.2949	5.0	261.8168342113495
7	0.038831912	0.021108177	0.12745018	0.00903819	26.305264	0.29186612	0.13220562	0.84287584	-0.36426497	80000	-1.6021728e-08	0.06555852	-0.017238803	-0.024509083	10.979922	0.018229391	0.2588	5.0	297.94154381752014
8	0.040930964	0.022559686	0.15842892	0.008775888	29.904192	0.3368946	0.13589396	0.85079414	-0.21454553	90000	-7.629395e-09	0.07661306	-0.0207903	-0.030350108	10.9788	0.016572837	0.2595	6.0	333.66613578796387
9	0.038873047	0.01909315	0.11357614	0.008400338	31.37224	0.38433433	0.13583435	0.90411353	-0.3403557	100000	-1.411438e-08	0.07075698	-0.018749261	-0.028958742	10.985515	0.019454861	0.2533	5.0	370.37494230270386
10	0.042666253	0.022284353	0.13302837	0.011221749	38.23755	0.38085103	0.14379133	0.97244126	-0.20234181	110000	-6.1035155e-09	0.08386317	-0.015408892	-0.036134586	10.960318	0.019682728	0.2538	4.0	406.2648215293884
11	0.041483156	0.018179178	0.1295813	0.009112439	36.22826	0.44359952	0.1489632	1.0039848	-0.18546842	120000	-2.1362304e-08	0.086362295	-0.015342285	-0.031203672	11.03024	0.017930001	0.2749	5.0	442.4593014717102
12	0.04201243	0.019082956	0.12351302	0.009717228	40.63008	0.45629507	0.16808021	1.0828342	-0.23653734	130000	-2.6702882e-08	0.09431976	-0.015860958	-0.042530075	10.994869	0.016938852	0.2396	5.0	477.42668652534485
13	0.0416045	0.016640438	0.10349707	0.009532309	47.312798	0.4773119	0.15691413	1.0343457	-0.29159564	140000	9.155274e-09	0.10397607	-0.019936634	-0.044967055	10.995927	0.017944606	0.2287	6.0	512.995450258255
14	0.043919116	0.019127928	0.12838976	0.010972637	53.664864	0.53565985	0.17931402	1.1280787	-0.21799234	150000	8.010864e-09	0.10807347	-0.021727031	-0.05136759	10.95957	0.015851844	0.2224	7.0	549.6932518482208
15	0.04808702	0.021240601	0.14523523	0.015444606	49.676617	0.576388	0.16420114	1.1517682	-0.13427421	160000	-6.408691e-08	0.1005454	-0.019264268	-0.04608	11.02636	0.01615701	0.2072	6.0	585.6218988895416
16	0.045856584	0.015663385	0.11416785	0.010433048	56.896553	0.58119607	0.17365237	1.1726685	-0.25384998	170000	-1.5258789e-09	0.12564641	-0.024176737	-0.061443396	11.007479	0.01431752	0.2123	7.0	621.6324570178986
17	0.046910048	0.019075975	0.1526367	0.015915833	64.38312	0.6581291	0.17438526	1.2448959	-0.2939816	180000	1.2969971e-08	0.118325	-0.09338926	-0.056284964	10.984189	0.015236025	0.3173	42.0	662.5348734855652
18	0.048811067	0.017940389	0.10780783	0.013739713	63.32484	0.66280186	0.18471007	1.3432481	-0.15199435	190000	-1.5258789e-09	0.123157226	-0.11819923	-0.059858896	11.009473	0.013849875	0.4381	79.0	708.1804358959198
19	0.049022187	0.016286884	0.100233674	0.012478908	75.381676	0.6907295	0.18742132	1.3560761	-0.015802363	200000	-1.8310548e-08	0.122862354	-0.10911538	-0.06493987	10.961562	0.0151284775	0.3867	60.0	751.8514862060547
20	0.04634275	0.015314561	0.09545906	0.011101748	71.057144	0.73453104	0.19489413	1.347976	-0.16888653	210000	-1.525879e-08	0.12516099	-0.12007445	-0.053487368	10.961153	0.01528308	0.4483	77.0	797.3175156116486
21	0.048685677	0.015972057	0.11697162	0.010941778	79.744	0.7196235	0.22228839	1.4785106	-0.23572192	220000	-2.0980835e-09	0.12803024	-0.08723488	-0.075653985	10.978254	0.015118542	0.2972	33.0	836.5441064834595
22	0.049775485	0.016912438	0.11875175	0.008404576	90.66972	0.7484194	0.18467742	1.3738422	-0.109034985	230000	1.525879e-08	0.11937859	-0.120771356	-0.064114526	10.941003	0.011339781	0.4598	79.0	881.710526227951
23	0.04937337	0.013861251	0.10403186	0.022594335	95.93269	0.7572675	0.19250627	1.4017794	-0.063216686	240000	9.155274e-09	0.1489281	-0.02203807	-0.08365476	10.972078	0.01378629	0.2197	6.0	917.9321892261505
24	0.05059095	0.014830496	0.10726028	0.016243298	83.45763	0.8257573	0.20734477	1.5704507	-0.051022805	250000	-6.4849854e-09	0.13435838	-0.121416934	-0.07575175	10.928184	0.014179153	0.4616	79.0	963.5611963272095
