Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.16512369	0.075478874	0.37657234	0.06771127	21.521053	-0.28505185	0.39298922	0.9853393	-2.0398047	4096	7.636845e-08	3.9603658	-0.08480185	-1.9719894	10.971655	0.015881779	0.2626953	21.0	13.457875967025757
1	0.16505608	0.07243257	0.37340993	0.06892162	20.897959	0.42778215	8.337851e-05	0.42827845	0.4242353	8192	5.1688403e-08	2.1599488	-0.06366896	-0.7182176	11.01977	0.016361518	0.25390625	17.0	26.04312252998352
2	0.16537535	0.06884258	0.36454785	0.06755632	21.791445	0.93666875	2.7150132e-05	0.9374713	0.9354864	12288	4.9592927e-08	1.2020038	-0.05612542	-0.15475714	11.005209	0.016422024	0.22021484	15.0	38.30284118652344
3	0.16955268	0.07446812	0.3914976	0.06986015	21.255209	1.2053846	0.0001150316	1.2095511	1.2053798	16384	-1.8742867e-08	1.2585984	-0.054721273	-0.08444476	11.061419	0.01591245	0.21264648	15.0	50.66004157066345
4	0.16359378	0.06853375	0.36528108	0.07022081	21.213541	1.4592454	0.12478706	1.9431101	1.3362372	20480	-2.7939677e-09	1.0844833	-0.064349025	-0.6192155	11.014943	0.01591242	0.23999023	18.0	63.831209659576416
5	0.16876008	0.073315464	0.3802917	0.0635389	21.286459	1.2396386	0.71303517	5.6726723	-0.13513899	24576	1.071021e-08	0.9190506	-0.06465052	-0.69967914	11.058168	0.0157717	0.23339844	19.0	77.1447343826294
6	0.16905074	0.073823065	0.36574596	0.070884645	21.834225	1.4462433	0.9550754	6.0042605	-0.54279125	28672	-2.9336661e-08	0.79751265	-0.063199155	-0.6165917	11.011745	0.01655519	0.25219727	19.0	89.56294369697571
7	0.16829488	0.07052602	0.38092703	0.07151982	20.582914	1.4003751	0.9353829	5.54421	-0.33988464	32768	1.9557774e-08	0.6626642	-0.07217105	-0.42132288	10.996162	0.015648484	0.30810547	23.0	102.18925380706787
8	0.16579045	0.06765932	0.37811232	0.06950776	21.291666	1.4088073	0.9301039	5.400569	-0.5444559	36864	-3.7252903e-09	0.6850825	-0.04611567	-0.5414778	11.013592	0.015426058	0.2133789	12.0	114.4378674030304
9	0.17472298	0.07527444	0.35855424	0.06931987	22.027027	1.404114	0.99998444	5.4551597	-0.7098117	40960	3.0733645e-08	0.7934878	-0.04400483	-0.6624966	11.075821	0.016222714	0.21801758	11.0	126.94398880004883
10	0.16779305	0.06993213	0.39981234	0.07199396	21.222797	1.3790053	0.95337135	6.4167585	-0.47790325	45056	-1.5133992e-08	0.68504345	-0.10831019	-0.5576229	11.045332	0.015029791	0.42944336	65.0	140.72207045555115
11	0.17932945	0.07628884	0.38120395	0.065487914	21.291666	1.4296219	1.0185827	8.636391	-0.6524639	49152	2.2817403e-08	0.8658896	-0.034920275	-0.70828223	11.045089	0.017365772	0.2434082	8.0	152.82333397865295
12	0.18135159	0.077728	0.3761551	0.07493114	22.005377	1.5900064	1.0481206	6.557988	-0.94861245	53248	-4.0396117e-08	0.7813102	-0.056032557	-0.63804114	11.024719	0.016040975	0.26879883	15.0	165.08147716522217
13	0.17483479	0.07173736	0.3671517	0.07435292	22.478022	1.5432291	1.0224904	5.6837416	-0.5480516	57344	2.4912879e-08	0.67269886	-0.029511116	-0.52578795	10.966483	0.017282683	0.23583984	7.0	177.21153855323792
14	0.18639639	0.0772609	0.38810462	0.072622344	22.244566	1.7054605	1.075737	5.89754	-0.98984003	61440	-1.071021e-08	0.7602546	-0.03320131	-0.57647216	11.064972	0.01668352	0.23168945	8.0	189.33019185066223
15	0.17427802	0.07354318	0.38417578	0.066185325	22.666666	1.5807469	1.1072444	6.604572	-0.78035426	65536	-1.9557774e-08	0.73741674	-0.11678089	-0.5835458	11.053654	0.015141174	0.47875977	79.0	203.06088089942932
16	0.17859541	0.0766207	0.37919518	0.076675944	21.531578	1.4738723	0.9731147	6.402132	-1.3174182	69632	-5.5879354e-09	0.7404014	-0.06868022	-0.6146448	10.93015	0.015220266	0.29345703	19.0	215.67349529266357
17	0.17925367	0.07684122	0.41044715	0.06832664	21.397905	1.4546611	1.0645642	6.503428	-1.2038292	73728	9.313226e-10	0.8211327	-0.061553363	-0.6606999	10.9820175	0.017679285	0.28759766	17.0	227.98400449752808
18	0.18188757	0.07425389	0.38529927	0.069288656	23.028248	1.5442008	1.0100474	7.4422073	-0.9857731	77824	-7.450581e-09	0.82390964	-0.02886307	-0.65077776	10.9727955	0.01647514	0.19873047	7.0	240.0292956829071
19	0.18711208	0.07739772	0.3733933	0.07092816	22.217392	1.665872	1.0914394	7.4103713	-0.9750867	81920	-1.2805685e-09	0.8470768	-0.08933544	-0.711426	10.996613	0.015228433	0.32104492	32.0	252.57986903190613
20	0.18695047	0.082808964	0.38098073	0.07298394	22.36612	1.5740917	1.1000669	6.073137	-0.9727948	86016	2.142042e-08	0.70619893	-0.07061575	-0.60048586	10.994444	0.015248638	0.27856445	20.0	265.1102571487427
21	0.18539064	0.08079636	0.40517414	0.067224495	22.190218	1.5790884	1.0912628	6.07107	-1.0389748	90112	6.3795596e-08	0.65050924	-0.07480576	-0.5383145	10.945631	0.015461401	0.2939453	22.0	277.4699881076813
22	0.1878694	0.082269	0.41639635	0.07093814	22.14674	1.650555	1.0860257	7.8893385	-1.1361516	94208	-6.519258e-09	0.8235457	-0.07481033	-0.67530894	10.969061	0.015467451	0.28344727	22.0	289.671777009964
23	0.17247698	0.074926585	0.38261223	0.077515855	22.596685	1.5300702	1.0430977	6.123521	-1.355674	98304	1.1641532e-09	0.6606363	-0.0317439	-0.51824194	10.9559555	0.016821625	0.22460938	7.0	301.6383183002472
24	0.18143296	0.07614859	0.38072821	0.07107757	22.949438	1.4179614	0.95118326	5.9451394	-1.3985565	102400	-3.1664968e-08	0.7552404	-0.06758018	-0.5719606	10.97072	0.015706742	0.28857422	19.0	313.93549728393555
25	0.19151399	0.07989865	0.40743685	0.07796024	22.412088	1.7868493	1.092932	7.464302	-1.0613933	106496	2.3283064e-08	0.9141089	-0.07778018	-0.74269307	10.974501	0.015614076	0.28930664	24.0	326.2609963417053
26	0.20287263	0.08326824	0.37404755	0.07627194	22.26087	1.5965161	1.1350237	6.304293	-1.693624	110592	4.1443855e-08	0.84590256	-0.09857684	-0.68283373	10.93186	0.0155084515	0.35473633	36.0	338.9346730709076
27	0.18308736	0.07438853	0.37685913	0.07402735	22.184782	1.4552324	1.028854	6.9789376	-1.7678711	114688	2.5087502e-08	0.75289273	-0.09618347	-0.5880158	11.001617	0.015378617	0.34350586	34.0	351.5847668647766
28	0.19738153	0.08016514	0.38538048	0.07070716	22.45055	1.44823	1.0192239	5.9128675	-2.1901312	118784	4.656613e-10	0.8458158	-0.060383126	-0.66799414	11.040388	0.016246324	0.22094727	15.0	363.8508801460266
29	0.19146632	0.08187638	0.379716	0.06662648	22.574585	1.7196546	1.0674872	6.766719	-2.0215771	122880	1.4901161e-08	0.7720346	-0.05608054	-0.6384813	11.014158	0.016199801	0.2409668	14.0	376.0877478122711
30	0.19759606	0.08483529	0.39535314	0.07435238	21.871658	1.5074968	1.0505272	6.0006313	-1.6891038	126976	-2.6077032e-08	0.77705956	-0.06921069	-0.650395	10.954691	0.016282184	0.2722168	19.0	388.4965851306915
31	0.19115466	0.08422443	0.37384254	0.072671205	22.949438	1.7572703	1.1012628	6.4991894	-1.9148979	131072	6.9849193e-09	0.81571573	-0.06668274	-0.6571231	10.969234	0.01593343	0.27807617	17.0	400.75849413871765
32	0.18765529	0.07876106	0.40626955	0.08416684	22.23913	1.7518383	1.1088427	6.762043	-1.996681	135168	0.0	0.8144223	-0.055121973	-0.6795216	10.92068	0.01552455	0.21679688	14.0	412.7887718677521
33	0.192939	0.08251996	0.40529352	0.07469993	22.179348	1.5723935	1.0427874	6.28162	-1.9513795	139264	-8.381903e-09	0.79988444	-0.07797933	-0.65228975	10.992268	0.015010353	0.30200195	23.0	425.08008217811584
34	0.19921485	0.08212537	0.39334694	0.07132701	23.204546	1.8354349	1.1348207	6.027547	-2.3538582	143360	1.7695129e-08	0.9821491	-0.066718884	-0.64831686	10.946594	0.015956748	0.26464844	18.0	437.2738149166107
35	0.20238438	0.08637299	0.38278732	0.081558436	23.056498	1.3552063	1.226084	6.8684716	-2.44206	147456	-5.5879354e-08	1.1408746	-0.07315858	-0.9741984	10.96987	0.0153407995	0.3017578	21.0	449.4894709587097
36	0.18978934	0.07663303	0.39028546	0.080618836	21.680851	1.5476649	1.1472409	4.087645	-2.6155334	151552	-1.1175871e-08	0.8259767	-0.05872136	-0.71624243	10.967504	0.016636591	0.2758789	15.0	461.6951689720154
37	0.18790083	0.08000056	0.36940175	0.07216374	22.837988	1.6909713	1.1010635	4.2295814	-1.9329882	155648	-1.6763806e-08	0.84797037	-0.038493887	-0.4954722	10.99695	0.015408281	0.19897461	9.0	473.72140884399414
