Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.45109665	0.024590854	0.50233555	0.39394143	49.261692	-0.002904656	0.042598724	0.29411182	-0.29983416	4096	-0.052750073	36.29264	-0.024756346	-32.08254	10.871966	-0.0036850586	0.012	15.0	34.050681352615356
1	0.45387614	0.023435436	0.49983895	0.39855364	45.642857	4.1088343	2.1101365	26.113922	1.2538196	8192	0.038508285	4.9245768	-0.018050978	-4.106946	10.958269	0.0068428977	0.0039999997	15.0	38.834264516830444
2	0.44656402	0.025607364	0.49892923	0.3994505	48.397434	5.507918	3.2291791	28.958014	0.29983464	12288	0.061598737	4.7427864	-0.0146723185	-3.9569511	11.18528	-0.0058879643	0.024	15.0	43.996949672698975
3	0.45323232	0.025137153	0.49944112	0.3996088	50.506493	5.705598	2.7928953	16.827545	-0.04044143	16384	0.017115548	1.0982709	-0.019612346	-0.7009752	10.893206	-0.001378704	0.031999998	15.0	48.804179430007935
4	0.45117506	0.025938002	0.5015571	0.39941567	46.592594	5.330245	2.6120381	15.321151	0.12232895	20480	-0.024033954	0.93567294	-0.012986714	-0.42139548	11.097158	0.0017399925	0.051999997	15.0	53.309316873550415
5	0.45421785	0.027043665	0.50061697	0.3993102	49.405064	5.594362	2.710469	13.763235	0.14993712	24576	-0.06785734	0.44191685	-0.014019701	-0.26061374	11.130232	0.011698185	0.027999997	15.0	57.89116621017456
6	0.4506224	0.027605208	0.5015604	0.39941436	51.410957	5.6021132	2.6647296	12.884535	0.08582886	28672	0.11272144	0.32122558	-0.022530356	-0.19704214	11.295453	0.005205407	0.063999996	15.0	62.54815983772278
7	0.44757527	0.02291671	0.49965888	0.39818445	48.1	5.248603	2.6506002	13.220917	0.13741311	32768	0.03538949	0.2685083	-0.016536485	-0.16941513	11.107242	0.005222828	0.028	15.0	67.40400838851929
8	0.4502552	0.023250086	0.49908766	0.3999803	49.51282	5.451436	2.6885092	13.559651	0.16665308	36864	0.02729617	0.43077534	-0.017802585	-0.13160282	11.120076	0.0045250813	0.063999996	15.0	72.44002747535706
9	0.45073098	0.021904422	0.4976622	0.39849186	48.705128	5.404965	2.623896	12.895977	0.2038372	40960	0.10230665	0.23144956	-0.0141916545	-0.12561624	11.054815	0.024642333	0.048	15.0	77.44409894943237
10	0.45417807	0.025169289	0.4994236	0.39769864	49.688313	5.4615135	2.6421866	14.557973	0.20855018	45056	0.036992025	0.57229626	-0.01301005	-0.36038455	11.317791	0.013524008	0.08	15.0	82.20493412017822
11	0.45235303	0.024064308	0.49940598	0.40028685	48.569622	5.3536434	2.6267881	12.516494	0.18169668	49152	0.014756039	0.42826843	-0.0146686565	-0.3172629	11.206367	-0.0062619136	0.056	15.0	87.14181542396545
12	0.45646557	0.023902511	0.49988174	0.39815006	47.8	5.4742017	2.6037672	14.04942	0.3753689	53248	-0.029947346	0.24943209	-0.016429642	-0.14391406	11.14189	0.008613783	0.063999996	15.0	91.66806316375732
13	0.45547974	0.024504136	0.49830326	0.4022912	47.341774	5.383716	2.6595685	13.169226	0.2733577	57344	-0.06455431	0.60829175	-0.01640096	-0.28381842	11.100591	-0.0029842965	0.063999996	15.0	96.22928762435913
14	0.44900665	0.025843684	0.49999568	0.39748248	49.80263	5.4194903	2.5773728	11.822086	0.32156974	61440	-0.010872275	0.39160854	-0.024133418	-0.1721804	11.153367	-0.0027287195	0.031999998	15.0	100.85281109809875
15	0.45389336	0.022004606	0.50019604	0.39875388	48.75641	5.3847866	2.5778809	11.419034	0.25437763	65536	-0.012233958	0.18276227	-0.011991791	-0.11056538	11.050081	0.00058049336	0.043999996	15.0	105.45722222328186
16	0.45640358	0.026043827	0.4987336	0.39737877	48.833332	5.4786363	2.6699486	11.512224	0.2408652	69632	0.067860544	0.7036432	-0.02159016	-0.28048623	11.020226	0.009389592	0.076	15.0	109.95624852180481
17	0.45305526	0.025323486	0.50095695	0.4003661	48.620255	5.302285	2.608069	12.455826	0.28806883	73728	-0.015903294	0.75009686	-0.025462747	-0.6261929	10.90227	0.006668632	0.059999995	15.0	114.55366492271423
18	0.4551924	0.020495778	0.49817786	0.40542918	48.113926	5.477742	2.5984519	15.332318	0.32501018	77824	0.0051067127	0.42817515	-0.016440723	-0.20791264	10.998476	0.0017404057	0.084	15.0	119.13200402259827
19	0.45079854	0.021867352	0.49802727	0.40006137	50.13158	5.454677	2.7516034	15.451933	0.16914421	81920	0.059195943	0.5879406	-0.011935733	-0.2700521	10.97671	0.016778748	0.08399999	15.0	123.81036925315857
20	0.4503235	0.02259768	0.50014406	0.39974588	51.72	5.430016	2.6449656	14.914003	0.30192924	86016	-0.007558471	0.8361572	-0.014620227	-0.53141356	11.179823	0.01113992	0.08399999	15.0	128.34474182128906
21	0.44927934	0.023214107	0.48180863	0.39927918	50.08	5.4901896	2.70964	17.948063	0.23806627	90112	-0.017134735	0.56263614	-0.018382275	-0.46403176	11.385684	0.0105531905	0.09199999	15.0	132.9946105480194
22	0.4506146	0.023797821	0.50094527	0.39981502	46.817074	5.2801085	2.6484258	13.108702	0.28000432	94208	-0.09692041	0.14737503	-0.016255626	-0.08848478	11.050682	0.0054465374	0.055999994	15.0	137.53143644332886
23	0.45070958	0.024447503	0.50042325	0.3995583	47.074074	5.329356	2.6790907	11.788347	0.27348348	98304	0.06516743	0.36338952	-0.01960664	-0.135277	10.9649935	0.010141253	0.048	15.0	142.2040033340454
24	0.4489408	0.026936201	0.4978863	0.3994929	49.55844	5.3256893	2.5708451	12.022336	0.22210908	102400	-0.0242883	0.15290609	-0.012490494	-0.08892342	11.099481	0.0012597181	0.044	15.0	146.8978612422943
25	0.45323792	0.023410294	0.4991776	0.40061238	49.26923	5.4461675	2.6077318	11.558039	0.34228444	106496	-0.09311142	0.1369195	-0.01931288	-0.08226733	11.109687	0.0014222639	0.04	15.0	151.5156488418579
26	0.4460599	0.023902593	0.50496054	0.39524278	47.256096	5.341879	2.6349652	12.61136	0.29241365	110592	0.0034955114	0.41599697	-0.01704348	-0.23513134	10.9574175	-0.008553017	0.072	15.0	156.0632243156433
27	0.44282046	0.023267683	0.49271062	0.3953021	47.95	5.3095756	2.5737276	12.15348	0.2702129	114688	-0.027965808	0.19048552	-0.013287751	-0.1372739	10.86538	0.0050687655	0.051999997	15.0	160.53594636917114
28	0.44924355	0.021026565	0.49222276	0.39520696	50.526318	5.6057677	2.728031	15.91421	0.20307226	118784	-0.10253245	0.40170717	-0.017515281	-0.13386169	10.695401	0.0018190742	0.048	15.0	165.24836230278015
29	0.44528365	0.025877777	0.49260184	0.3916201	47.33735	5.2701845	2.6835477	16.673618	0.22426525	122880	0.047903933	0.16054013	-0.014911125	-0.109216765	11.336513	-0.0017388302	0.060000002	15.0	170.12421226501465
30	0.4508194	0.024287365	0.49467215	0.39494258	45.764706	5.371967	2.6274598	14.091257	0.37606683	126976	0.078488015	0.34544498	-0.022525657	-0.12504265	11.070305	0.0020926744	0.051999997	15.0	174.77791738510132
31	0.44771832	0.023371594	0.49351713	0.39555362	49.605263	5.4886355	2.672416	12.804014	0.24324803	131072	-0.079968154	0.8086306	-0.010156448	-0.35217404	11.305903	0.014899036	0.051999997	15.0	179.40138840675354
32	0.44479665	0.022943329	0.49272323	0.39435253	48.125	5.2552967	2.5934155	14.382645	0.25949675	135168	-0.10723786	0.22066112	-0.018446734	-0.15891305	11.003633	0.0062656417	0.063999996	15.0	184.0563199520111
33	0.44172826	0.025965866	0.4922456	0.3946527	53.054794	5.5160728	2.6961405	14.545611	0.20724207	139264	-0.09664851	0.4256454	-0.013079089	-0.15584594	10.846914	-0.0049419	0.067999996	15.0	188.6706292629242
