Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.069235876	0.02363446	0.17064503	0.02450143	4.61036	-0.5878301	1.2133234	5.9119916	-12.177908	4096	3.7718564e-07	2.0590672	-0.119901456	-2.0282595	10.971655	0.015429396	0.58569336	86.0	33.153173208236694
1	0.066932894	0.021808688	0.18058416	0.025068104	4.6207676	0.12374468	0.09176617	0.875955	-0.032588813	8192	1.5366822e-08	0.029595084	-0.02672282	-0.020953355	11.011211	0.029673126	0.095458984	2.0	62.90984272956848
2	0.06840826	0.02254398	0.19253244	0.022623176	4.5550613	0.1792523	0.0857656	0.4701249	-0.023177505	12288	-2.3748726e-08	0.010272352	-0.030431407	-0.0024767015	10.997563	0.022796605	0.2319336	4.0	92.58627128601074
3	0.0675667	0.0225915	0.18302806	0.026524235	4.6218963	0.1846791	0.087919064	0.38348922	-0.0780187	16384	1.10361725e-07	0.009082374	-0.03264056	-0.0014317343	11.053392	0.022891842	0.27490234	4.0	123.07415914535522
4	0.0679162	0.023539843	0.19231729	0.024371196	4.7883043	0.17971852	0.090266444	0.45321932	-0.018826751	20480	-4.1909516e-09	0.008788863	-0.019091694	-0.001289269	11.006202	0.025068998	0.21484375	2.0	153.34735679626465
5	0.066022314	0.022307646	0.19823563	0.024197409	4.989038	0.18773317	0.089178376	0.40916646	-0.015300787	24576	1.1175871e-08	0.008876553	-0.022776514	-0.0012224829	11.049481	0.025022972	0.22802734	3.0	186.20895338058472
6	0.067786306	0.021282064	0.17532058	0.026846332	4.9159665	0.19126716	0.08801355	0.42229426	-0.013361896	28672	1.7695129e-08	0.009708023	-0.030789446	-0.0015927758	11.002979	0.023009237	0.2590332	4.0	219.55898022651672
7	0.069352746	0.022354178	0.19860429	0.030917566	4.8936677	0.19774802	0.08896875	0.42101443	-0.008536504	32768	6.193295e-08	0.009002261	-0.03066166	-0.0016658264	10.987412	0.022502016	0.2253418	4.0	249.8650243282318
8	0.06957217	0.022576004	0.17446713	0.028427381	4.920673	0.19761366	0.089246005	0.46713185	-0.0015814737	36864	8.1490725e-09	0.007923653	-0.02834883	-0.0011936715	11.003542	0.0243374	0.22753906	4.0	280.9857792854309
9	0.069659755	0.022096103	0.20309089	0.027183112	4.8983254	0.19650975	0.09229914	0.43264377	0.0039685457	40960	-4.679896e-08	0.0078096977	-0.018723542	-0.0011216239	11.064795	0.029436935	0.24511719	2.0	310.4771523475647
10	0.070733145	0.021957712	0.16698724	0.03211885	5.0505548	0.19560519	0.09285142	0.40132934	0.02615384	45056	-7.4505806e-08	0.0112095615	-0.014485113	-0.0021060416	11.033878	0.03011606	0.27416992	2.0	341.61904311180115
11	0.07014122	0.02242474	0.16379963	0.031812813	5.326398	0.20407128	0.095632486	0.42502952	0.0015784659	49152	2.8871e-08	0.008995589	-0.017713781	-0.0016673533	11.0329075	0.030074216	0.2631836	2.0	374.73094272613525
12	0.071038954	0.02200005	0.20793973	0.02337777	5.3116884	0.21098956	0.09484226	0.4252683	0.0053794123	53248	-9.9651515e-08	0.009522738	-0.018888433	-0.0016536554	11.011312	0.030263383	0.2849121	3.0	406.85435152053833
13	0.071579814	0.02217333	0.19061431	0.022136284	5.436919	0.21282911	0.10130915	0.76966107	0.0055426904	57344	-2.0023435e-08	0.009724721	-0.025593823	-0.0016542273	10.951374	0.023151323	0.23852539	4.0	439.3376247882843
14	0.07141408	0.02291881	0.23559514	0.029401667	5.5134773	0.21481384	0.102833346	0.459645	0.01770644	61440	2.9802322e-08	0.010834245	-0.023923155	-0.0019788332	11.047972	0.025359452	0.2319336	3.0	472.244606256485
15	0.07228053	0.020751223	0.15863246	0.030467605	5.4939437	0.22298259	0.1040049	0.49820882	0.012547672	65536	-5.5180863e-08	0.009430101	-0.02262338	-0.002035005	11.035251	0.02561482	0.25927734	3.0	504.8189458847046
16	0.07144855	0.021127902	0.17986692	0.028883424	5.8540773	0.21854916	0.1015979	0.5321884	0.014154336	69632	-1.1641532e-07	0.0114625655	-0.028254163	-0.0024282308	10.912234	0.02621799	0.23120117	4.0	539.0594847202301
17	0.072690725	0.021726899	0.17989776	0.025543878	5.792079	0.23741078	0.107488275	0.5052649	0.016655862	73728	2.6542693e-08	0.01035847	-0.02991422	-0.001699497	10.964464	0.022979628	0.2397461	4.0	572.2833073139191
18	0.072582595	0.022848116	0.21261774	0.025540242	5.67313	0.20091581	0.11373119	0.5243044	-0.0047319513	77824	5.7742e-08	0.010877436	-0.024076829	-0.0029140217	10.955819	0.018749114	0.22729492	4.0	604.4802620410919
19	0.07296185	0.023616932	0.17675579	0.03202482	6.092262	0.2245161	0.10867014	0.7000439	0.024672732	81920	8.777715e-08	0.012047164	-0.021438569	-0.0028197123	10.979071	0.02893083	0.23706055	3.0	637.693062543869
20	0.0725547	0.020289067	0.18070325	0.024421427	5.868195	0.23630156	0.11501727	0.57411665	0.028002774	86016	3.213063e-08	0.010474195	-0.022640409	-0.0024532517	10.978773	0.024189573	0.25341797	3.0	670.4610226154327
21	0.072357945	0.022619076	0.16687907	0.030608816	6.099851	0.22319919	0.112243064	0.4819016	0.030382397	90112	-1.8626451e-08	0.010705964	-0.02103333	-0.0028120382	10.931453	0.026723914	0.24951172	3.0	704.1471960544586
22	0.07369823	0.021436721	0.17300484	0.0331612	6.212443	0.2311712	0.11464668	0.53748286	0.03421248	94208	3.4226105e-08	0.012689478	-0.02143709	-0.0029461076	10.957579	0.030569615	0.26904297	3.0	740.0046389102936
23	0.07384791	0.02158033	0.17175075	0.03151843	6.470774	0.24203233	0.113284744	0.5650257	0.038272407	98304	2.2817403e-08	0.014169846	-0.020455979	-0.002115164	10.943963	0.028766625	0.23071289	3.0	774.1522126197815
24	0.073063955	0.020192182	0.17476977	0.034884695	6.522293	0.25305778	0.113694966	0.5583821	0.08382497	102400	2.4214387e-08	0.014719007	-0.025596803	-0.0035234718	10.957878	0.025062773	0.26953125	4.0	808.7639091014862
25	0.073062524	0.023037676	0.19511408	0.028110135	6.8724833	0.25191522	0.116353914	0.5224781	0.10131666	106496	1.1175871e-08	0.014606853	-0.029438626	-0.0028945915	10.961697	0.019499168	0.21362305	4.0	846.7894206047058
26	0.07410379	0.021962015	0.19718112	0.030598946	6.8444815	0.263378	0.11949143	0.5521982	0.10876984	110592	5.7392754e-08	0.012713073	-0.023336297	-0.0027985815	10.9199915	0.020781998	0.18652344	3.0	882.2931253910065
27	0.07233316	0.021750499	0.20063446	0.031964157	6.9659863	0.25879475	0.12011731	0.58861464	0.1140886	114688	-3.958121e-09	0.016163304	-0.025328971	-0.0016099382	10.991366	0.023124367	0.26782227	4.0	918.1390233039856
28	0.07498491	0.020033536	0.15941365	0.022453066	6.787728	0.24975452	0.11058358	0.5267552	0.13206561	118784	1.4784746e-08	0.015158263	-0.027699437	-0.0040215766	11.031683	0.02326724	0.21850586	4.0	953.4538817405701
29	0.07510985	0.020575002	0.19618657	0.029651012	6.664495	0.2720803	0.1271478	0.61662483	0.1280091	122880	8.3004124e-08	0.013784321	-0.026942499	-0.0031410176	11.005826	0.026723877	0.25830078	4.0	987.5671272277832
30	0.07471008	0.021456556	0.18236585	0.026380006	7.0690846	0.2668781	0.12280596	0.58786094	0.07938457	126976	-1.2805685e-08	0.0152874235	-0.02863403	-0.003501271	10.94655	0.026687464	0.23999023	4.0	1024.0269558429718
31	0.07554165	0.01965151	0.15050384	0.030800167	7.1573424	0.27629766	0.12701395	0.6414226	0.13388385	131072	1.4225952e-07	0.019562295	-0.021604978	-0.0060185753	10.960329	0.021684375	0.2055664	3.0	1059.726155757904
32	0.07279176	0.019139124	0.21827859	0.030251892	7.529412	0.28152335	0.12802048	0.67740875	0.13828927	135168	-8.1490725e-09	0.018539736	-0.024616875	-0.005559844	10.910803	0.018846776	0.22485352	4.0	1098.584327697754
33	0.07314885	0.018826837	0.16871703	0.026308784	7.3862815	0.2866003	0.12528881	0.64909065	0.1484187	139264	1.3038516e-08	0.016228678	-0.029492727	-0.004827734	10.982222	0.022558501	0.19433594	4.0	1134.8857049942017
34	0.07533999	0.021352815	0.18951407	0.032256063	7.641791	0.28289434	0.13153595	0.6648155	0.0972987	143360	-6.3795596e-08	0.017097449	-0.029758342	-0.0025038477	10.937693	0.023602383	0.23632812	5.0	1170.9757361412048
35	0.075655006	0.020246204	0.17072296	0.03240665	7.681051	0.28623825	0.12622628	0.7357817	0.15483454	147456	-2.8987415e-08	0.019840557	-0.028874863	-0.0070954533	10.960802	0.021613302	0.16894531	4.0	1205.5395500659943
36	0.07425756	0.017889071	0.1361216	0.036731318	7.611524	0.29095715	0.13548128	0.7027498	0.100821644	151552	-1.3131648e-07	0.01896451	-0.02658628	-0.006906133	10.958589	0.019288693	0.21875	4.0	1244.1976549625397
37	0.074126154	0.01908785	0.17494828	0.03150036	7.646729	0.30065954	0.1426306	0.772673	-0.0032253861	155648	-3.0267984e-09	0.01983397	-0.02798181	-0.007885097	10.98885	0.02290952	0.2253418	4.0	1281.4114344120026
38	0.073947646	0.018200353	0.16311374	0.03613403	7.7647057	0.30237803	0.13949454	0.7474899	0.03817966	159744	1.3038516e-08	0.017870981	-0.028852819	-0.0073097516	10.971007	0.02502619	0.2331543	4.0	1317.1617019176483
39	0.073844075	0.019461231	0.19960064	0.018952793	8.105159	0.29894528	0.14491348	0.8167005	-0.015359566	163840	5.727634e-08	0.020325823	-0.025920445	-0.007838941	10.966591	0.020025937	0.19848633	4.0	1354.3526887893677
40	0.07491759	0.02041343	0.23011793	0.03266035	7.9941406	0.31787324	0.14636107	0.81451666	0.07242734	167936	-1.1269003e-07	0.021073857	-0.0276931	-0.008712705	10.986434	0.018265901	0.19091797	4.0	1391.8565227985382
41	0.07486674	0.017533291	0.16409053	0.030428017	7.9610896	0.30517173	0.14794661	0.7914766	-0.07355425	172032	9.313226e-10	0.021699501	-0.026652362	-0.007792404	11.014845	0.019050926	0.2163086	4.0	1427.9200139045715
42	0.075525686	0.018659659	0.14939117	0.035219513	8.336049	0.31659257	0.14315522	0.80609417	0.10015324	176128	6.961636e-08	0.022804396	-0.03374095	-0.010152833	10.894259	0.020999704	0.23803711	5.0	1464.8920962810516
43	0.07493661	0.018488461	0.15823975	0.024822673	8.29878	0.31826216	0.15555064	0.93255365	-0.010969371	180224	2.2584572e-08	0.02189662	-0.03228851	-0.010256223	10.939079	0.019112753	0.24243164	5.0	1500.8289370536804
44	0.07546264	0.017638037	0.14403923	0.033707447	8.357142	0.30913597	0.14909476	0.82692534	-0.03462878	184320	9.033829e-08	0.02437466	-0.037346363	-0.004111301	10.977947	0.021172905	0.24609375	6.0	1537.1893162727356
45	0.07399294	0.01755648	0.1689414	0.03170362	8.806452	0.30696583	0.1403989	0.8061342	-0.047216967	188416	3.131572e-08	0.02743245	-0.022282222	-0.014588764	10.9808035	0.022823976	0.18017578	3.0	1575.1206767559052
46	0.07566773	0.018419817	0.17485577	0.036608335	8.785408	0.3333568	0.15426598	0.9094841	0.054082245	192512	-3.0500814e-08	0.023399465	-0.026541386	-0.011782656	10.940088	0.024057124	0.19946289	4.0	1613.1983947753906
47	0.07679764	0.017752746	0.15853359	0.030756319	8.685106	0.33844095	0.1601111	0.8014607	-0.33483773	196608	-1.6763806e-08	0.024031436	-0.035403952	-0.012327628	10.922692	0.017713537	0.1928711	5.0	1648.9277997016907
48	0.07556743	0.018918343	0.1977581	0.031842705	8.8741865	0.3331318	0.16753487	0.9770823	-0.029484585	200704	6.472692e-08	0.024977826	-0.033500653	-0.008004185	10.939582	0.01954122	0.23217773	5.0	1686.4921441078186
49	0.07654557	0.018098336	0.1830956	0.031313535	8.714286	0.32649085	0.15153107	0.86711055	-0.12218438	204800	-4.5634806e-08	0.027050193	-0.038814813	-0.014033088	10.974405	0.01842422	0.22045898	6.0	1724.0246624946594
50	0.075648524	0.016664354	0.14536421	0.031332314	8.8125	0.33719018	0.15308844	0.8720762	-0.022523612	208896	8.6613e-08	0.022914188	-0.02596327	-0.010096563	10.914541	0.022216242	0.19238281	4.0	1762.3641636371613
51	0.076008275	0.018118517	0.16218923	0.037564866	8.895652	0.34282345	0.1585241	0.92749316	-0.19051051	212992	-1.2177043e-07	0.024583716	-0.030092757	-0.011862739	10.938954	0.017095424	0.20727539	5.0	1801.8757719993591
