Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.7156759	0.045777693	0.8036773	0.50944734	12.843147	-0.09195652	0.21041517	1.0616648	-1.5030786	4096	0.06444973	34.998158	-0.0555	-1.0716127	16.460854	0.008752606	0.07058824	15.0	49.94582962989807
1	0.7176871	0.044015754	0.78902626	0.5316637	12.9145565	0.030049188	1.8626451e-09	0.030049186	0.030049186	8192	-0.15281767	33.805454	-0.038911194	-1.1267675	16.527573	0.008471646	0.078431375	15.0	54.58635234832764
2	0.71850896	0.045552082	0.79392266	0.52474797	12.77116	0.13896991	0.0	0.13896991	0.13896991	12288	0.05555672	36.119766	-0.026916914	-1.3726896	16.331545	0.010174568	0.13333334	15.0	59.21375298500061
3	0.715786	0.04649835	0.80832654	0.547671	12.961783	0.26949474	2.9802322e-08	0.2694947	0.2694947	16384	0.040741216	30.139902	-0.025166616	-1.2800986	16.480087	0.006400579	0.105882354	15.0	63.869805097579956
4	0.7182252	0.04487654	0.7873179	0.5145394	12.945687	0.4031699	0.0	0.4031699	0.4031699	20480	-0.08844832	33.486534	-0.03683659	-1.3840523	16.33165	0.012791395	0.105882354	15.0	68.48694372177124
5	0.71641505	0.04339553	0.7925936	0.53122205	12.746081	0.54112697	0.0	0.54112697	0.54112697	24576	-0.07974135	29.450129	-0.033574298	-1.2921308	16.538076	0.009236912	0.11372549	15.0	73.11399054527283
6	0.7136691	0.045027673	0.7917662	0.5440054	12.613003	0.67928034	1.1920929e-07	0.67928046	0.67928046	28672	0.014809561	27.755796	-0.034799334	-1.1954727	16.199121	0.0103619	0.16078432	15.0	77.7811074256897
7	0.71503276	0.046960045	0.79026306	0.5560821	12.752351	0.8140243	0.0	0.8140243	0.8140243	32768	0.01741902	30.12394	-0.0002616731	-1.2842356	16.655838	0.019611325	0.16862746	0.0	82.26982307434082
8	0.7180174	0.045129757	0.8012222	0.5584369	12.700934	0.9519332	0.0	0.9519332	0.9519332	36864	0.07219242	26.518929	-0.00032425424	-1.1812578	16.567991	0.021606406	0.21960784	0.0	86.68332266807556
9	0.7155049	0.045037054	0.79106116	0.5442122	12.9522295	1.0886662	1.1920929e-07	1.0886661	1.0886661	40960	0.00571545	24.98448	-0.006805556	-1.0630728	16.619326	0.015658734	0.16470589	5.0	91.192800283432
