Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.14260817	0.03817146	0.36622164	0.015696155	1.8536576	-0.27154005	0.7604496	6.862983	-11.675645	4096	0.014966477	0.9245937	-0.07253598	1.7723849	16.400713	-0.016778853	0.234375	15.0	202.36549592018127
1	0.14259832	0.03768468	0.33448687	0.023006536	1.8492099	1.2550151	1.783479	22.303223	0.012981031	8192	0.056292213	4.380951	-0.060510747	-4.2374873	16.676891	-0.0055506118	0.1953125	15.0	218.74483060836792
2	0.14312421	0.037644487	0.30933192	0.019518537	1.8669097	0.32694712	0.52804714	5.366949	-0.45933872	12288	0.11746997	0.16715369	-0.064122714	-0.08354478	16.549282	0.0080912635	0.14453125	15.0	235.48201751708984
3	0.14321916	0.03855776	0.35957283	0.020780932	1.8524886	0.1673948	0.25886196	2.4473443	-1.7660434	16384	0.103646606	0.08338665	-0.07432374	-0.04556091	16.291374	0.008724444	0.1953125	15.0	252.167471408844
4	0.14376701	0.038456444	0.2833166	0.029753394	1.8962963	0.22976035	0.17867349	2.152318	-0.44665396	20480	0.0005343696	0.053511117	-0.08347271	-0.023583623	16.556347	-0.027894214	0.2421875	15.0	268.6064760684967
5	0.14208467	0.038347013	0.29371947	0.015980871	1.8188277	0.27171278	0.19434631	3.4365394	-0.2974856	24576	-0.007680187	0.053097237	-0.0057947403	-0.019953787	16.241629	0.018157784	0.16796875	0.0	285.0660707950592
6	0.14238518	0.039530464	0.298568	0.023207601	1.8293881	0.29612523	0.18613473	3.4078581	-0.32842842	28672	-0.036139887	0.049832854	-0.0052192695	-0.019576583	16.474167	0.028338376	0.1484375	0.0	301.46251702308655
7	0.14296928	0.03823278	0.29787377	0.024142375	1.8554599	0.26319823	0.13887063	1.8504771	-0.25872645	32768	-0.018494193	0.039191127	-0.06296389	-0.013772899	16.493858	-0.010580547	0.2109375	15.0	318.0803499221802
8	0.14285135	0.038901925	0.30462536	0.025792964	1.8495935	0.27493596	0.13702402	2.1183949	-0.4097696	36864	-0.06872648	0.03685433	-0.0033033788	-0.016323257	16.496513	0.023196198	0.1875	0.0	334.53677582740784
9	0.14281222	0.037900325	0.2727659	0.014689005	1.8571428	0.2914251	0.14700788	2.467461	-0.30041164	40960	0.024005037	0.039361916	-0.004218459	-0.014557885	16.36294	0.03213315	0.17578125	0.0	351.53839659690857
10	0.14210768	0.03876251	0.29495946	0.021152588	1.8318425	0.24259588	0.11546362	1.5701596	-0.37443745	45056	-0.076257266	0.038736917	-0.0023194328	-0.015264917	16.464453	0.017714959	0.13671875	0.0	368.33299708366394
11	0.14268103	0.037729833	0.2854367	0.013159211	1.8421053	0.3010464	0.13125855	1.889046	-0.18084146	49152	0.087698996	0.04162906	-0.064231865	-0.014682721	16.557549	-0.02179728	0.18359375	15.0	384.95925426483154
12	0.14333981	0.03785425	0.30154264	0.023870999	1.8844914	0.24716094	0.11813241	1.5083832	-0.54622823	53248	0.114928365	0.03285955	-0.0015801489	-0.0115878135	16.399635	0.017301418	0.1015625	0.0	401.5690770149231
13	0.1431305	0.03808	0.2943554	0.020289885	1.8806244	0.3227282	0.15177819	2.8611112	-0.1502324	57344	-0.030297197	0.046054117	-0.004565567	-0.024901256	16.494827	0.026401203	0.16796875	0.0	418.5803532600403
14	0.14323953	0.038149707	0.26782	0.026225664	1.8417267	0.29830343	0.15160716	2.9008846	-0.2128646	61440	0.040737167	0.033919886	-0.014555119	-0.012536578	16.18272	0.018902127	0.15625	0.0	435.8597764968872
15	0.14345734	0.03807077	0.30623746	0.031319324	1.8652095	0.29209393	0.13184619	2.6792595	-0.1398324	65536	0.0060469825	0.031085653	-0.0050446223	-0.013797099	16.523222	0.024175975	0.1640625	0.0	452.7080764770508
