Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.19571072	0.033048235	0.24330415	0.13067704	87.71739	-0.046027325	0.025355052	0.09982799	-0.31193167	4096	-6.7520887e-09	7.9329357	-0.04501459	-7.881854	10.971655	0.0151119055	0.17138672	95.0	19.439009189605713
1	0.20129405	0.027752023	0.24301347	0.13488653	72.51786	2.4561214	1.0066799	6.297629	0.15029463	8192	1.21071935e-08	0.06939631	-0.03921544	-0.026379824	11.023709	0.011320626	0.16601562	127.0	38.86094689369202
2	0.19895937	0.030799735	0.2438662	0.13256438	80.77551	2.428861	0.9958243	5.1533537	0.07128731	12288	2.142042e-08	0.07930759	-0.03793062	-0.07337412	11.001733	0.011714106	0.14575195	127.0	59.05969977378845
3	0.20625065	0.027515566	0.2438246	0.13303258	69.254234	2.55778	1.0548968	7.7165756	0.16686279	16384	-8.6729415e-09	0.112232864	-0.018141204	-0.10718683	11.05411	0.015378213	0.12597656	19.0	75.66434717178345
4	0.19707319	0.023705577	0.23388909	0.13071752	67.6	2.6020017	1.0555503	5.3255606	0.113751374	20480	9.313226e-09	0.027526412	-0.016449282	-0.02392624	11.009451	0.017898168	0.15356445	11.0	92.22261023521423
5	0.19803242	0.024810478	0.23651528	0.12885803	61.909092	2.5040982	1.0453216	4.9582024	0.05651342	24576	2.2817403e-08	0.0054026037	-0.04216431	-0.0023592855	11.054043	0.01277656	0.17285156	127.0	112.26676344871521
6	0.19932745	0.023903437	0.23413548	0.12944664	68.13793	2.6692402	1.0669376	5.0030437	0.16542667	28672	-2.7939677e-09	0.005375689	-0.042212915	0.00019694632	10.999891	0.013482516	0.18286133	127.0	131.38992023468018
7	0.19552475	0.031527746	0.24312927	0.12941614	84.791664	2.545895	1.0031115	5.0111475	0.19238591	32768	-1.1175871e-08	0.031113677	-0.041572098	-0.028202185	10.980278	0.009549325	0.14477539	127.0	151.35488963127136
8	0.2039626	0.026775993	0.24375269	0.13422911	72.39286	2.6237035	1.0530272	5.3285723	0.07256396	36864	1.0244548e-08	0.010236105	-0.046860825	-0.0088851005	10.988951	0.007726567	0.17675781	127.0	170.3711416721344
9	0.2026857	0.029804785	0.24142055	0.1315923	73.87037	2.570076	1.0593591	5.7665114	0.14792445	40960	9.313226e-10	0.007104994	-0.046508327	-0.0059218328	11.045104	0.014340448	0.18774414	127.0	189.19338965415955
10	0.20651998	0.026467541	0.24337444	0.13503419	72.5	2.69094	1.0640802	5.3161464	0.17224523	45056	8.032657e-09	0.0040347464	-0.045289263	-0.0022162464	11.016846	0.008476168	0.17382812	127.0	207.96517896652222
11	0.19839823	0.032168202	0.2439391	0.13291943	81.56	2.5464604	1.0627449	5.298694	0.0022440106	49152	-1.839362e-08	0.0044753524	-0.042278208	-0.0032282542	11.013494	0.011344649	0.18603516	127.0	227.39809203147888
12	0.20657285	0.030241108	0.24391696	0.13210168	71.89286	2.5896912	1.0871935	5.3177066	0.14657074	53248	1.5133992e-08	0.0031448165	-0.046860322	-0.0021871026	10.994363	0.015035979	0.17700195	103.0	246.24461436271667
13	0.20664749	0.028636476	0.2439814	0.13230331	71.38596	2.6126788	1.0371898	5.323895	0.13425401	57344	2.863817e-08	0.0018533663	-0.029855244	-0.0010311578	10.918337	0.01543998	0.1303711	33.0	263.24289894104004
14	0.19940418	0.03293795	0.24359609	0.13246633	78.19231	2.4866428	1.0795577	5.3155785	0.1532282	61440	7.916242e-09	0.0028835204	-0.046875052	-0.002182746	11.015524	0.012238026	0.19628906	127.0	282.39471650123596
15	0.1979565	0.025797227	0.23457666	0.13015142	68.25862	2.5816665	1.06755	5.314967	0.17491339	65536	1.9790605e-09	0.011401446	-0.02536305	-0.0107289115	10.995317	0.01697652	0.10571289	14.0	297.55942583084106
16	0.20079301	0.025969984	0.2344748	0.12947558	60.671642	2.5008004	1.0586175	4.975645	0.17182367	69632	-2.4214387e-08	0.0022256682	-0.044546694	-0.0016472515	10.873224	0.015050918	0.19262695	124.0	315.8073949813843
17	0.19714983	0.023040965	0.23427008	0.12907347	65.90323	2.5571864	1.0335478	4.9480543	0.065461025	73728	6.519258e-09	0.0040182425	-0.044830997	-0.0033206032	10.9365635	0.0150917955	0.19091797	125.0	334.7214457988739
18	0.19377606	0.027686944	0.23472868	0.12911615	72.48214	2.5483284	1.0233204	4.9813085	0.19188678	77824	-2.910383e-08	0.002159583	-0.044820715	-0.0015304739	10.928394	0.0072589307	0.16894531	127.0	353.83883118629456
19	0.19152574	0.030970018	0.2342176	0.12917852	88.45652	2.5874543	1.0293914	4.978612	0.16344696	81920	-1.4901161e-08	0.0015773347	-0.043429997	-0.0011964836	10.951792	0.008900464	0.1694336	127.0	374.06291127204895
20	0.19364916	0.023914265	0.23396209	0.13162072	73.90909	2.574234	1.0082059	4.97667	0.17162472	86016	2.3748726e-08	0.0016545514	-0.04421228	-0.0010167533	10.94232	0.009236885	0.1694336	127.0	393.4477684497833
21	0.19651358	0.027726185	0.23466398	0.12898576	74.03636	2.5812416	1.033626	4.9546814	0.17627244	90112	-1.3504177e-08	0.0014865565	-0.044722915	-0.0010802778	10.889088	0.00845506	0.16235352	127.0	413.39009141921997
22	0.19901398	0.024568811	0.23447411	0.13207485	69.38983	2.6240585	1.0253501	4.935453	0.12178355	94208	-1.6996637e-08	0.0010324507	-0.04590552	-0.00069574243	10.899151	0.011422597	0.18066406	127.0	433.02539443969727
23	0.20028417	0.022316651	0.23414877	0.12853713	61.044777	2.561084	1.0516703	4.9641366	0.16832963	98304	-2.0023435e-08	0.001240348	-0.038265944	0.00015825883	10.880888	0.01510152	0.15844727	71.0	451.3322751522064
24	0.19516836	0.02642634	0.23310286	0.12885574	71.32143	2.587175	1.0404623	4.9998884	0.16700804	102400	4.1443855e-08	0.0026055179	-0.050549775	-0.0013020649	10.893421	0.0123361545	0.2133789	127.0	471.613445520401
25	0.19372725	0.024563313	0.23467423	0.12977946	68.79661	2.4995914	1.061603	4.944967	0.20538783	106496	-2.3283064e-08	0.001929126	-0.048694603	-0.0013318204	10.881838	0.01507228	0.19360352	112.0	491.7615783214569
26	0.19517574	0.023330327	0.23439592	0.13317527	70.54386	2.6097958	1.0446882	4.9761977	0.13051452	110592	-1.9790605e-08	0.002373924	-0.040252216	-0.0018597366	10.847511	0.015044802	0.1694336	80.0	510.47884368896484
27	0.1991633	0.026671402	0.23462278	0.12859118	71.92857	2.6097713	1.0496137	4.971856	0.1279559	114688	-9.313226e-09	0.0016124074	-0.045840584	-0.00132812	10.910315	0.009977246	0.18432617	127.0	530.3110947608948
28	0.19766846	0.025102736	0.23397847	0.13063562	67.68965	2.5919054	1.0481555	4.962318	0.14103875	118784	8.8475645e-09	0.0016988625	-0.045770913	-0.0011479569	10.941532	0.01000922	0.18310547	127.0	550.0237746238708
29	0.19790612	0.025929907	0.23451209	0.13148466	68.706894	2.5449338	1.020306	5.053211	0.20243593	122880	4.8894435e-09	0.001909719	-0.0145870065	-0.00150869	10.921917	0.01702549	0.15649414	10.0	567.6398923397064
30	0.19794047	0.026623772	0.23367746	0.1289102	65.82258	2.5036755	1.0119178	4.9435406	0.12441185	126976	-3.0267984e-09	0.0034910603	-0.042200062	-0.0032112747	10.863993	0.015032124	0.15673828	127.0	587.7945513725281
31	0.19737782	0.02786804	0.23703808	0.12803774	65.77419	2.4904273	1.044872	4.962075	0.1684983	131072	7.450581e-09	0.0010400286	-0.044540964	-0.0007545749	10.870554	0.009756874	0.18701172	127.0	608.1737451553345
32	0.19051805	0.030908678	0.2348546	0.12850486	83.12245	2.5092385	1.0620501	4.959411	0.07446772	135168	1.8626451e-09	0.0014731267	-0.033173457	-0.0012305228	10.802774	0.015159719	0.140625	57.0	626.9362442493439
33	0.19631879	0.031547025	0.234458	0.12878191	79.31373	2.5749428	1.0217441	4.943731	0.18918128	139264	3.0267984e-09	0.0010151125	-0.044985052	-0.0007637328	10.872184	0.0095759975	0.17382812	127.0	647.1177053451538
34	0.19270325	0.026242208	0.2341401	0.13007024	70.22414	2.492877	1.0496796	4.9459243	0.05479595	143360	-1.1466909e-08	0.002644876	-0.04178686	-0.0019553122	10.826397	0.01503212	0.18237305	127.0	667.1417310237885
35	0.19985902	0.023207104	0.23407283	0.13121867	64.53968	2.612821	1.0387927	4.973288	0.11832252	147456	-6.9849193e-09	0.0027872347	-0.039079644	-0.0022914284	10.843332	0.01508336	0.17871094	102.0	686.2009270191193
36	0.19921346	0.022116521	0.23399273	0.12784159	66.37705	2.6179805	1.0228559	4.95848	0.16197681	151552	9.313226e-10	0.0031407	-0.046887457	-0.0027156866	10.827841	0.008578017	0.17797852	127.0	706.064966917038
37	0.19968781	0.025758447	0.23490751	0.12828267	71.47369	2.6417785	1.0322912	4.9581604	0.1723382	155648	-5.122274e-09	0.0018863474	-0.04458578	-0.0016241055	10.847025	0.014479063	0.15991211	127.0	725.898609161377
38	0.19353174	0.027319035	0.23426601	0.1287749	74.29091	2.5476646	1.0708151	4.9452024	0.14527	159744	1.1175871e-08	0.0011111018	-0.049423005	-0.00080413255	10.808247	0.011381564	0.19335938	127.0	746.3466641902924
39	0.19693229	0.022714704	0.23402932	0.13054739	69.67242	2.6105566	1.0448674	4.980661	0.12871812	163840	-1.44355e-08	0.0013074847	-0.04838877	-0.00095864834	10.804102	0.014571393	0.1743164	127.0	766.2721567153931
40	0.19580233	0.03035872	0.23479038	0.12822379	79.92157	2.5938632	1.0070205	4.9944277	0.16482365	167936	-5.5879354e-09	0.0012920897	-0.044964045	-0.0010676489	10.817726	0.008121399	0.18823242	127.0	787.0518381595612
41	0.19852607	0.025706168	0.23423934	0.128133	66.491806	2.5575275	1.033424	4.9416246	0.07823624	172032	2.910383e-08	0.0012594667	-0.0463541	-0.0010472771	10.840105	0.012203005	0.18920898	127.0	807.028073310852
42	0.20023118	0.02418644	0.23463893	0.12919137	66.934425	2.6369457	1.0654116	4.9490414	0.12929165	176128	2.0954758e-09	0.0013012658	-0.045998257	-0.0010475907	10.718143	0.01159103	0.18530273	127.0	826.6457056999207
