Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.23571704	0.020944126	0.2757452	0.1888378	15.655172	0.021791268	0.19350979	0.5536599	-0.5723373	4096	1.2572855e-08	2.4211805	-0.021629734	-2.3872564	10.971655	0.015083039	0.15161133	7.0	18.034368753433228
1	0.23477957	0.018333891	0.27616924	0.1933764	15.734615	1.1284931	0.9641937	3.9563653	0.2595321	8192	2.0489097e-08	0.035455815	-0.039834492	-0.025506053	11.022598	0.015424252	0.15112305	28.0	36.70897722244263
2	0.23559636	0.019865751	0.27452788	0.19316687	15.659004	1.1522777	0.9800985	3.4915051	0.20742717	12288	1.0244548e-08	0.010585897	-0.040103797	-0.005116241	11.007971	0.015817992	0.14111328	25.0	54.8714599609375
3	0.23252426	0.02019847	0.27550766	0.17925102	15.610687	1.1329181	0.9754144	3.3582797	0.11862637	16384	-1.7229468e-08	0.010512075	-0.0458445	-0.0043898514	11.065752	0.015450746	0.22021484	30.0	72.90380096435547
4	0.2244559	0.022094404	0.26516736	0.17791419	15.753846	1.110996	0.96393305	3.3697953	0.09431389	20480	2.8405339e-08	0.009999609	-0.06082437	-0.006863839	11.01935	0.015115181	0.23291016	74.0	92.16055512428284
5	0.22594164	0.019509222	0.26502803	0.1803871	15.629771	1.077452	0.9321397	3.3933353	0.088974535	24576	-9.313226e-10	0.004048843	-0.047553446	-0.0013468249	11.056759	0.015223998	0.20898438	33.0	110.29273056983948
6	0.22746958	0.020399407	0.26487386	0.1788748	15.696154	1.0889347	0.9412129	3.4317827	0.08855471	28672	-1.3038516e-08	0.0027291912	-0.017853005	-0.0008283694	11.009342	0.02061569	0.19311523	7.0	127.05706119537354
7	0.23095886	0.020451955	0.2746881	0.17936827	15.570342	1.0776548	0.9351865	3.3991218	0.09647061	32768	-1.816079e-08	0.0069803004	-0.019945504	-0.00340671	10.995571	0.01621418	0.21606445	9.0	145.28681707382202
8	0.23337896	0.018866496	0.27529737	0.19180901	15.64751	1.0976715	0.95307755	3.3973398	0.09086801	36864	-1.1641532e-08	0.0055728606	-0.02378883	-0.0040824898	11.014002	0.014882969	0.2084961	12.0	163.2810297012329
9	0.23368365	0.018131122	0.27514282	0.19381875	15.791506	1.1331983	0.9859896	3.3887885	0.094928145	40960	-3.4458935e-08	0.001678956	-0.018281046	-0.0005306569	11.077847	0.01810125	0.20043945	7.0	181.28120064735413
10	0.23660782	0.018112736	0.27507758	0.19175585	15.799228	1.1488414	0.9927952	3.4365547	0.0912687	45056	-1.46683306e-08	0.0016607146	-0.031740785	-0.00055827526	11.048294	0.016177382	0.17626953	17.0	199.59510707855225
11	0.23661363	0.018391054	0.27563807	0.19334888	15.7153845	1.1478392	0.989339	3.421385	0.08810224	49152	6.519258e-09	0.0013257458	-0.05981668	-0.00042353885	11.046528	0.015144852	0.22485352	50.0	218.41250371932983
12	0.23546018	0.018373631	0.27570438	0.19454421	15.7799225	1.1430523	0.99105877	3.427878	0.09741514	53248	-8.8475645e-09	0.0015475464	-0.044940367	-0.00042629952	11.024085	0.015127987	0.20288086	31.0	236.5995111465454
13	0.23429206	0.018702883	0.27866256	0.1849231	15.929961	1.1385083	0.9917794	3.4161694	0.07263294	57344	-2.188608e-08	0.002089505	-0.026487254	-0.00097366166	10.964302	0.015082024	0.16967773	15.0	254.36899542808533
14	0.23719776	0.019103415	0.2757401	0.18865842	15.75	1.1538746	0.9942124	3.423324	0.084818766	61440	1.44355e-08	0.0012705796	-0.04583928	-0.0003674918	11.061193	0.015751498	0.23339844	28.0	271.9889876842499
15	0.2264647	0.021414446	0.26515713	0.17954567	15.692307	1.13865	0.98527515	3.4645836	0.06619416	65536	-2.3283064e-09	0.011564065	-0.08032186	-0.010606266	11.0483265	0.013483152	0.30200195	127.0	291.6006350517273
16	0.22635034	0.021063544	0.26576725	0.17969957	15.636015	1.0816631	0.93916744	3.4906142	0.09707066	69632	2.2817403e-08	0.0009881933	-0.061689194	-0.00037417607	10.921408	0.015125509	0.24682617	53.0	309.6710364818573
17	0.22809426	0.01946885	0.26563793	0.17302784	15.723077	1.0945313	0.9467638	3.5091624	0.09100011	73728	2.7939677e-09	0.00085127674	-0.027163763	-0.0003031221	10.975576	0.01615933	0.22680664	9.0	326.1037390232086
18	0.22752099	0.019470418	0.2624256	0.18272991	15.753846	1.0911304	0.9482672	3.525291	0.08954838	77824	4.656613e-10	0.0007776442	-0.044430286	-0.0002807511	10.968035	0.015323911	0.22460938	24.0	343.9583764076233
