Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.15694632	0.049515393	0.31552348	0.068429075	13.873611	0.0083414065	0.6549317	2.2109106	-2.4414601	10000	1.3923645e-08	1.1639404	-0.061450373	-0.97742695	10.987884	0.015720086	0.1691	17.0	32.997045040130615
1	0.15656796	0.049237378	0.3196283	0.0705058	13.873611	0.7257851	0.26789626	1.7777479	0.043032378	20000	-4.5776368e-08	0.21525806	-0.020957286	-0.04709965	11.040834	0.020409433	0.2528	5.0	64.1283917427063
2	0.14734511	0.048581805	0.3400005	0.07319273	15.904459	0.7421687	0.2548256	1.7766935	0.06738353	30000	2.632141e-08	0.21261631	-0.018485786	-0.048492387	11.044191	0.021001043	0.3296	6.0	98.42165493965149
3	0.14757943	0.04672943	0.3009786	0.0667918	16.97619	0.76969755	0.27203327	1.9121476	0.12435767	40000	-1.9073487e-09	0.21526212	-0.020063493	-0.061236143	11.022977	0.017147204	0.2746	7.0	132.19961524009705
4	0.14251304	0.04112504	0.27464002	0.066132106	17.839285	0.8110791	0.29448187	1.8227521	-0.056959152	50000	1.6784668e-08	0.21969149	-0.021556983	-0.06866442	11.071294	0.018985111	0.2799	7.0	165.98708200454712
5	0.14343351	0.046064567	0.30287158	0.07131816	20.157576	0.81523556	0.3150551	1.8875666	-0.10817516	60000	4.196167e-08	0.25541407	-0.018017652	-0.09798734	11.027645	0.016873205	0.2657	7.0	199.85987210273743
6	0.13879572	0.043785788	0.3268463	0.07519328	22.571106	0.876884	0.34494674	2.1594672	-0.32416943	70000	3.0517577e-09	0.25288966	-0.021796007	-0.11372697	11.015928	0.017667243	0.2534	8.0	233.67955827713013
7	0.13746384	0.040074036	0.2911024	0.071299255	24.270073	0.92071414	0.3786161	2.6493797	-0.3129706	80000	1.1825562e-08	0.26869464	-0.085393995	-0.1357977	10.992097	0.0150790345	0.2664	45.0	270.81024527549744
8	0.13759704	0.042830393	0.33627608	0.07461955	24.608374	0.96315163	0.39924443	2.4683793	-0.2739562	90000	-1.5258789e-09	0.26585796	-0.020633934	-0.13949017	10.9826	0.017025497	0.2569	7.0	303.4892303943634
9	0.13669686	0.03962873	0.31217965	0.072423756	26.101828	0.9502888	0.42092636	2.5935142	-0.64460605	100000	-2.2888184e-08	0.2813084	-0.01878578	-0.14723429	10.989173	0.018577896	0.2353	7.0	336.99690651893616
10	0.14042495	0.03998841	0.32772538	0.0731943	26.018229	1.029233	0.44518447	2.4734607	-0.35738298	110000	-3.2806398e-08	0.30858862	-0.019587925	-0.1925343	10.963999	0.018005384	0.2281	7.0	370.2401373386383
11	0.1373184	0.03323613	0.2695326	0.0798287	27.775	1.0349113	0.473671	2.7832646	-0.60958195	120000	1.2111664e-08	0.32854	-0.09318835	-0.21668532	11.033901	0.015118919	0.3114	51.0	406.85243129730225
12	0.13684331	0.040716533	0.3120572	0.07432577	29.587538	1.0675104	0.49936262	2.955914	-0.44525394	130000	7.4386595e-09	0.294063	-0.09533907	-0.20140348	10.989686	0.015136372	0.3245	52.0	443.7301228046417
13	0.13643333	0.037995648	0.29757228	0.08037656	29.877245	1.0689604	0.50238675	3.2010348	-0.9121151	140000	-1.2207031e-08	0.28528664	-0.021517549	-0.19481412	10.982003	0.016759003	0.247	7.0	476.91136050224304
14	0.13490705	0.03573011	0.25638092	0.07420808	31.601265	1.0928671	0.5102152	3.0227919	-0.71810126	150000	-1.8692017e-08	0.28192985	-0.019723043	-0.20288402	10.945691	0.019631624	0.2626	6.0	510.7398500442505
15	0.1369296	0.038663797	0.32916963	0.07485724	32.42857	1.1432601	0.52242994	2.9479277	-1.0827358	160000	7.629395e-09	0.288455	-0.016508924	-0.2034193	11.012634	0.02048571	0.2277	6.0	543.3384366035461
16	0.13762964	0.035677027	0.28857994	0.084092	35.112675	1.1191571	0.5823782	3.2585266	-0.96390665	170000	9.155274e-09	0.34598964	-0.118743755	-0.26690242	10.993952	0.014607153	0.4509	99.0	584.0613803863525
17	0.13788876	0.0381498	0.29937384	0.08197085	35.41993	1.2288578	0.5906236	3.3421443	-0.83309114	180000	-1.9645691e-08	0.31344017	-0.099025555	-0.24566454	10.962927	0.015076668	0.3379	54.0	621.1982462406158
18	0.13550754	0.03301571	0.2533196	0.07629831	36.126812	1.208243	0.5944439	3.518507	-0.8481674	190000	1.0681152e-08	0.29597226	-0.10042801	-0.218617	10.9855795	0.015106708	0.3441	54.0	658.3963129520416
19	0.13308716	0.031675775	0.2824475	0.080810905	37.208954	1.2195119	0.56104016	3.3085978	-0.85692394	200000	0.0	0.28990573	-0.10162457	-0.23454098	10.940726	0.015306143	0.3532	55.0	695.7547497749329
20	0.13867192	0.033958264	0.30296826	0.08206199	36.224636	1.2320349	0.5970415	3.5035777	-0.66467446	210000	-1.449585e-08	0.30953565	-0.01902235	-0.24876326	10.939984	0.017903332	0.229	6.0	728.6533975601196
21	0.13968146	0.036953136	0.2905605	0.0766257	37.268658	1.243497	0.6301096	3.5971043	-1.4812268	220000	-1.0681152e-08	0.35545415	-0.10559839	-0.28006425	10.969392	0.0151667055	0.3811	64.0	767.4898171424866
22	0.13470586	0.031222327	0.2874558	0.06904464	39.65873	1.2865522	0.62462455	3.530489	-0.8025613	230000	-3.5095216e-08	0.34157056	-0.100920424	-0.28459483	10.927469	0.015144907	0.3537	55.0	804.676017999649
