Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.24968457	0.045106445	0.38547337	0.155697	13.873611	0.0083414065	0.6549317	2.2109106	-2.4414601	10000	8.8882445e-08	3.2620108	-0.05919406	-2.7504573	10.987884	0.015653476	0.1741	16.0	31.221088647842407
1	0.24752618	0.047623813	0.41131842	0.14624682	14.376979	1.4881257	0.40427086	3.26529	0.23307319	20000	3.967285e-08	0.61545825	-0.022423863	-0.1766096	11.040056	0.01900407	0.2654	6.0	62.57567811012268
2	0.24350137	0.043585453	0.3721634	0.15208201	15.499225	1.5158291	0.42563418	3.0838022	0.12992936	30000	2.822876e-08	0.6298215	-0.01980846	-0.22599974	11.043356	0.0202398	0.2938	6.0	93.3890540599823
3	0.2392052	0.03986998	0.36373347	0.15552264	18.066908	1.5987883	0.48056263	3.3357954	0.04679948	40000	1.9073486e-08	0.7196721	-0.01977765	-0.33452144	11.02156	0.017614016	0.2792	7.0	125.57765483856201
4	0.23646316	0.04110909	0.3712716	0.15363812	19.596079	1.7264649	0.5530938	3.4668002	-0.32982853	50000	-4.7302247e-08	0.7181193	-0.023696793	-0.39104116	11.069696	0.016877847	0.2542	8.0	156.06361389160156
5	0.23773915	0.037768174	0.38285455	0.15501055	20.358452	1.787389	0.59820354	4.113234	-0.4025982	60000	-3.3569336e-08	0.77365935	-0.02459118	-0.4933154	11.025853	0.01569046	0.2391	9.0	187.46767807006836
6	0.23909073	0.0407681	0.40444136	0.15346673	21.570194	1.8529197	0.6493984	3.880901	-0.46595767	70000	-9.727478e-09	0.8436195	-0.02054708	-0.5773957	11.013344	0.018060893	0.2643	7.0	219.81242847442627
7	0.23522776	0.03709043	0.35372224	0.15300313	24.23301	1.8935133	0.7035831	4.8883834	-0.91497445	80000	-2.2125244e-08	0.9633411	-0.02102654	-0.6802443	10.989266	0.015862064	0.2434	8.0	251.66763496398926
8	0.23400043	0.03508672	0.3841957	0.1707593	25.813953	2.0061781	0.7440209	4.4815245	-1.4360113	90000	-5.340576e-09	0.9878358	-0.02639432	-0.7903018	10.987972	0.015373244	0.2131	10.0	283.8012537956238
9	0.23314665	0.035630487	0.40278834	0.17010814	27.487604	2.0742548	0.75194347	4.9211354	-0.9898353	100000	-1.7166137e-08	0.9766546	-0.02427221	-0.8061942	10.994472	0.015224751	0.2195	9.0	315.1539626121521
10	0.2328114	0.034222376	0.38009197	0.16493985	29.817911	2.150134	0.8040804	4.723172	-0.8469442	110000	-4.196167e-08	1.0295602	-0.10155816	-0.876647	10.968972	0.0151100205	0.3365	66.0	350.67416739463806
11	0.23310663	0.035433747	0.37417084	0.17232461	28.815561	2.2683802	0.8509994	5.353953	-1.029711	120000	7.019043e-08	1.0003223	-0.022609571	-0.86877537	11.02795	0.015762165	0.2319	8.0	381.38609528541565
12	0.23803349	0.035420556	0.3835336	0.17228414	28.755043	2.2195463	0.8549794	4.947157	-1.5327525	130000	2.3651124e-08	0.98858184	-0.022338262	-0.8661275	10.992268	0.015370371	0.2478	8.0	413.50484108924866
13	0.23208477	0.031445157	0.32355544	0.1717516	31.408806	2.1978302	0.86506635	4.937858	-1.005619	140000	3.051758e-08	1.0151356	-0.12041964	-0.8055727	10.993085	0.013306314	0.4465	99.0	451.7032449245453
14	0.23333564	0.0339762	0.39061323	0.17348428	32.025642	2.2637887	0.92395467	5.537408	-1.696749	150000	1.9073487e-09	1.0981041	-0.02434391	-0.9985309	10.941936	0.016373541	0.2223	8.0	483.45663595199585
15	0.23347756	0.03176877	0.34450826	0.1699988	32.459282	2.3154578	0.91405624	5.3548455	-2.1147091	160000	9.536743e-09	1.0176142	-0.02271014	-0.8467086	11.008726	0.015893584	0.2134	8.0	514.8869135379791
16	0.23692153	0.03079503	0.38042042	0.17634673	34.38276	2.337713	0.89266485	5.3236656	-1.0473558	170000	-1.3637543e-08	1.0692515	-0.11971037	-0.9919859	10.989831	0.012440381	0.4551	99.0	553.1610147953033
17	0.23601083	0.03215323	0.32604906	0.16424099	34.06826	2.4564116	0.9749547	5.692872	-1.351816	180000	2.4414062e-08	1.0369959	-0.120712556	-0.7439793	10.952377	0.013639304	0.4552	99.0	590.9285249710083
18	0.23600295	0.03426417	0.40099654	0.1820143	35.073685	2.4444144	1.0793985	6.7666273	-1.8971372	190000	-8.773804e-09	1.1884093	-0.09004128	-1.1244428	10.972445	0.015220389	0.2983	40.0	622.1405878067017
19	0.23547281	0.030492255	0.3378154	0.17448121	35.675	2.4124131	0.99878764	5.9496646	-2.552996	200000	1.2207031e-08	1.1034706	-0.12306611	-1.0443488	10.92738	0.014039979	0.483	99.0	659.3403441905975
20	0.23488148	0.031035151	0.4036703	0.17587122	36.61172	2.4718497	1.0372335	5.566862	-2.0313497	210000	7.6293943e-10	1.0185789	-0.105468996	-0.9649579	10.921252	0.015127627	0.3792	57.0	694.7358322143555
21	0.23448916	0.03180606	0.36782166	0.17963766	36.88889	2.520361	1.0156817	5.7141633	-1.5885903	220000	0.0	1.0324422	-0.12300493	-0.9844201	10.9411955	0.014392354	0.472	99.0	732.6161420345306
22	0.23326123	0.030395148	0.37898883	0.174254	39.800797	2.468626	1.0535215	6.1610107	-1.4878657	230000	2.2888184e-08	1.0893092	-0.022008313	-0.98934895	10.895765	0.014498346	0.2408	7.0	764.276938199997
23	0.23992857	0.03311941	0.3536057	0.17962642	36.856087	2.581307	1.0471786	5.6640353	-1.5074587	240000	-1.9836426e-08	1.0762233	-0.12363898	-1.028308	10.939317	0.013323739	0.4824	99.0	803.1149206161499
24	0.23837228	0.030034617	0.33622184	0.17454931	38.05364	2.5203896	1.094513	6.0496144	-2.3556585	250000	-7.629395e-09	1.0186876	-0.022277255	-0.9777752	10.88565	0.016101409	0.2405	7.0	834.1747014522552
25	0.23793033	0.029458087	0.36018592	0.18246797	39.791164	2.5558887	1.0836691	5.479634	-2.472967	260000	-5.722046e-10	1.082454	-0.10461625	-1.0343469	10.894668	0.015022326	0.3811	56.0	867.0893087387085
26	0.23426709	0.029839968	0.35835412	0.17186761	42.38298	2.7034917	1.0455294	5.933524	-1.8540039	270000	1.9073486e-08	1.122683	-0.08968205	-1.0740325	10.85064	0.015316394	0.3116	37.0	900.407883644104
27	0.24004507	0.02973516	0.34758967	0.18099605	39.434784	2.637663	1.0900626	6.4618464	-1.9086097	280000	-2.2888184e-08	1.0691023	-0.11350779	-1.0307089	10.873624	0.015087374	0.4283	74.0	936.8702962398529
28	0.23824103	0.032798376	0.41109172	0.17892732	40.45935	2.6448352	1.1111072	6.4126167	-1.82766	290000	-1.8310548e-08	1.0780023	-0.022447433	-1.0165858	10.87346	0.015835825	0.1992	7.0	968.0708029270172
