Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.15919767	0.049248397	0.32434702	0.07037557	13.654371	0.005238203	0.6430853	2.6195824	-2.6786969	10000	-4.0245055e-08	1.1628708	-0.06845173	-0.9888749	10.9878845	0.015973005	0.2017	22.0	36.77999782562256
1	0.15753017	0.051362365	0.3402456	0.06648932	14.08169	0.73873305	0.2663253	2.1249218	-0.029186279	20000	-1.0681152e-08	0.20240125	-0.02154875	-0.064911634	11.039366	0.018437158	0.2695	6.0	70.15668082237244
2	0.15067863	0.050074853	0.31482768	0.071545884	15.841521	0.7390412	0.27922118	2.207937	-0.06248647	30000	-3.2043456e-08	0.19111967	-0.018290855	-0.07579214	11.042579	0.019971732	0.2721	6.0	104.63007688522339
3	0.14998946	0.04895769	0.34796232	0.07129871	16.630615	0.77714956	0.3229771	2.0986989	-0.3701793	40000	3.2424927e-09	0.20151119	-0.01756811	-0.10165029	11.021066	0.01817773	0.2721	6.0	138.11539340019226
4	0.14273359	0.045604512	0.3001818	0.059581373	18.83051	0.78861505	0.35682955	2.311118	-0.4941948	50000	-4.0817262e-08	0.21177605	-0.018219521	-0.12872474	11.069413	0.01807701	0.2751	6.0	174.12873029708862
5	0.14227816	0.04484223	0.31503445	0.07191338	20.300814	0.8426426	0.39544797	2.3406644	-0.5190234	60000	-1.5258789e-09	0.23144433	-0.020362375	-0.15568906	11.025924	0.01783274	0.274	7.0	210.04164695739746
6	0.1402446	0.042073194	0.3063655	0.07460592	22.033186	0.87653065	0.43595058	2.5248759	-0.78582644	70000	-5.0354004e-08	0.264238	-0.020431798	-0.19572803	11.014193	0.017950062	0.2506	7.0	245.6665632724762
7	0.13660574	0.03899777	0.32869685	0.07181028	23.918465	0.92082644	0.4468972	2.7823591	-0.67746675	80000	6.1035155e-09	0.2841278	-0.021662865	-0.22326358	10.990392	0.015888168	0.2291	8.0	281.3173236846924
8	0.13489442	0.038594488	0.2813566	0.078837626	26.927223	0.9656579	0.4882905	3.0532517	-0.7631469	90000	6.866455e-09	0.30772528	-0.1015532	-0.257059	10.989103	0.015176448	0.3485	62.0	320.14617800712585
9	0.13627864	0.040641047	0.29446548	0.0679992	26.313984	1.0252799	0.49809885	3.072746	-0.71533275	100000	-1.525879e-08	0.2991393	-0.022454517	-0.2570139	10.984909	0.017012523	0.2143	8.0	356.2333309650421
10	0.13945499	0.041191038	0.30525804	0.07419476	26.642666	1.0199976	0.52673936	3.1545975	-0.99947965	110000	-6.866455e-09	0.33624738	-0.023282047	-0.29387757	10.958853	0.01605209	0.2428	8.0	392.34454560279846
11	0.13675271	0.037510715	0.28164077	0.07633781	28.52	1.0605834	0.54671526	2.9470935	-1.1786981	120000	1.6784668e-08	0.33393854	-0.026626753	-0.29697973	11.027921	0.014217176	0.2653	9.0	427.4423704147339
12	0.13904363	0.039491702	0.28681758	0.07375825	28.965218	1.0774287	0.5431739	3.21106	-1.0895084	130000	-2.746582e-08	0.3255272	-0.025808731	-0.29372025	10.992253	0.015032407	0.2137	9.0	463.61119174957275
13	0.1392293	0.035123304	0.30670226	0.055461705	29.817911	1.1194681	0.5652338	3.2271674	-1.3294578	140000	0.0	0.3614834	-0.02037425	-0.32899877	10.992902	0.016963089	0.2336	7.0	500.09903049468994
14	0.13761443	0.035527527	0.28208262	0.07921451	31.23511	1.1222382	0.59362364	3.3542328	-1.0137863	150000	1.8119811e-08	0.35336545	-0.018555444	-0.30562815	10.95645	0.017287401	0.2229	7.0	535.1049587726593
15	0.13635431	0.033934414	0.2595842	0.070505485	33.109272	1.1555583	0.6275202	3.3074393	-1.318191	160000	-1.8310548e-08	0.37532908	-0.10010717	-0.33897915	11.023378	0.01509676	0.3374	63.0	575.3772220611572
16	0.13549468	0.034531333	0.29672414	0.07863815	35.802868	1.1573517	0.61669004	3.594747	-1.3336095	170000	2.2888185e-09	0.38452145	-0.08563376	-0.36019403	10.995327	0.015130142	0.2784	41.0	613.2219591140747
17	0.13832167	0.034690965	0.32049015	0.08334126	34.50347	1.2345647	0.6452328	3.7570071	-0.936888	180000	4.2724608e-08	0.3794299	-0.09690732	-0.35943773	10.965461	0.015101785	0.325	54.0	652.1785652637482
18	0.13501522	0.033075146	0.32780656	0.07779678	36.210144	1.222819	0.6497279	3.5916808	-1.2213136	190000	-2.6702882e-08	0.3840843	-0.103389256	-0.36323807	10.985357	0.01506577	0.3648	62.0	691.9663665294647
