Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.0	0.2	0.06741112	0.03644781	0.20329717	0.0027019237	0.052851576	0.033521496	0.11282044	0.020526184	1.1899506	1.0	4096	-1.5695438	2.7813175	63.71465	-58.8629	-1.5714824	2.7259417	68.6586	-45.96419	-0.47984812	4.9800305	9.668434	-78.63949	9.222885	20.247824	158.82552	-18.466848	4.3683186	4.521164	1.9734902	73.64090037345886
2	1.0	0.2	0.06737348	0.036537506	0.19107568	0.00514314	0.046838738	0.021408305	0.10585046	0.021903511	1.194169	1.1	8192	-0.5102586	1.5957819	45.52017	-42.34532	-0.51138985	1.5861622	61.297653	-61.453922	0.20396483	2.17826	12.359817	-54.599922	2.3370867	9.2871475	124.885925	-20.78041	0.723271	0.7246858	0.6953536	147.19927310943604
3	1.0	0.2	0.066530466	0.035885684	0.19259275	0.005331512	0.2538423	0.04978534	0.34099364	0.17720509	1.1814249	2.9	12288	-0.028789176	0.71673274	43.25851	-47.559338	-0.028801676	0.7080918	42.973858	-46.02285	1.1326091	1.0786346	7.60287	-47.69261	-6.3005037	4.8511863	96.587555	-18.2185	0.16677085	0.15794677	0.2767511	223.61478328704834
4	1.0	0.2	0.06730193	0.03600264	0.19096038	0.003367624	0.2640879	0.032735206	0.3232416	0.21999946	1.1931256	3.7	16384	0.11630981	0.46885857	30.978762	-22.186954	0.116265	0.4679268	25.250132	-26.422844	1.4403028	0.7106516	7.524478	-26.338947	-7.308399	2.9759698	120.52563	-17.750105	0.08951796	0.08840403	0.15470336	306.80321311950684
5	1.0	0.2	0.06680662	0.035308972	0.18708825	0.00507795	0.295256	0.06818093	0.42563307	0.19848825	1.1865585	4.1	20480	0.19330622	0.36093286	24.724316	-23.01013	0.19331494	0.36371332	24.59726	-24.061504	1.5920371	0.4939341	3.9045694	-31.070826	-7.623734	1.9950681	77.6916	-18.10939	0.07151069	0.07297148	0.09963596	384.53655982017517
6	1.0	0.2	0.06703865	0.036526773	0.19982782	0.0055617737	0.28392953	0.0472811	0.3855512	0.23280902	1.1817657	6.4	24576	0.23712495	0.3564443	30.57117	-33.600113	0.23735122	0.35727456	22.058077	-20.281631	1.6734345	0.389983	5.609538	-24.04791	-7.775182	1.5001858	93.775986	-16.957432	0.075702325	0.0774935	0.08297378	461.5272219181061
7	1.0	0.2	0.06916592	0.036441956	0.18733071	0.0053398735	0.3157303	0.038737595	0.37155095	0.24669538	1.2111176	5.0	28672	0.26778358	0.3800051	22.374193	-19.493584	0.26790074	0.3742368	20.120188	-15.057601	1.7214206	0.31794012	6.3942165	-18.570574	-7.8554926	1.2201322	71.82352	-17.486593	0.078439094	0.078943536	0.081275254	538.8489100933075
8	1.0	0.2	0.06854532	0.03643381	0.20296925	0.0034137196	0.28686997	0.031219264	0.35016102	0.23298997	1.1987705	6.2	32768	0.28300044	0.3969449	14.906889	-18.492537	0.28287274	0.39492062	13.571913	-12.353556	1.7404683	0.28559878	4.3434744	-19.76257	-7.900639	1.0731015	86.99328	-16.495909	0.07549007	0.07694053	0.07884702	616.0436248779297
9	1.0	0.2	0.06785421	0.036586016	0.20298941	0.0034858836	0.33902022	0.07274189	0.45758277	0.22781305	1.2042916	5.1	36864	0.2959556	0.41814393	15.013793	-15.128414	0.29610962	0.41428494	12.840583	-10.443799	1.7528445	0.2565285	6.0221796	-12.291079	-7.921516	0.9947321	47.92147	-18.571596	0.074970834	0.07585992	0.08428586	693.9945948123932
10	1.0	0.2	0.06912353	0.036352124	0.19777265	0.0026399002	0.30433184	0.049440518	0.34601748	0.19715114	1.2004689	4.2	40960	0.30344057	0.43347913	11.587095	-15.618788	0.30341423	0.43097198	13.373531	-15.034917	1.7585965	0.24245395	6.800348	-15.861179	-7.9318104	0.978195	78.258194	-17.581505	0.073114604	0.07518857	0.087613314	770.9200131893158
11	1.0	0.2	0.06891915	0.036729243	0.1848485	0.0028209807	0.30749488	0.057995647	0.40615973	0.21926507	1.2079033	4.8	45056	0.31017536	0.44988117	16.842928	-23.177507	0.31013575	0.4434736	9.254543	-12.623261	1.7600882	0.23060258	4.1193767	-13.861357	-7.9404063	0.9298721	69.70058	-16.901716	0.07412193	0.07408069	0.08998363	849.0759201049805
